"","Name","SMILES","RTI","exact mass","formula","logP","mz_pos","mz_neg","NAPS_POS_1","NAPS_POS_2","NAPS_POS_3","NAPS_POS_4","NAPS_POS_5","NAPS_POS_6","NAPS_NEG_1","NAPS_NEG_2","NAPS_NEG_3","NAPS_NEG_4","NAPS_NEG_5","NAPS_NEG_6"
"C1-APS","C1-APS","C[N+]1=CC(=CC=C1)S([O-])(=O)=O",100,173.014664263,"C6H7NO3S",-4.01,174.021940263,218.012864263,27.28699999998,27.096,27.20599999998,27.384,27.46300000002,27.174,26.93200000002,27.26299999998,26.81800000002,26.84899999998,26.89699999998,26.80900000002
"C2-APS","C2-APS","CC[N+]1=CC(=CC=C1)S([O-])(=O)=O",200,187.030314328,"C7H9NO3S",-3.65,188.037590328,232.028514328,28.48399999998,28.293,28.40299999998,28.581,28.66000000002,28.371,28.12900000002,28.45999999998,28.61299999998,28.644,28.692,28.60399999998
"C3-APS","C3-APS","CCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",300,201.045964392,"C8H11NO3S",-3.13,202.053240392,246.044164392,33.87,33.67900000002,33.789,33.96700000002,34.04599999998,33.75700000002,33.51499999998,33.24700000002,33.40000000002,33.432,33.48,33.39199999998
"C4-APS","C4-APS","CCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",400,215.061614457,"C9H13NO3S",-2.68,216.068890457,260.059814457,51.82300000002,52.23,52.33999999998,52.518,52.59799999998,52.308,50.271,50.004,50.157,50.18800000002,50.23600000002,50.74600000002
"C5-APS","C5-APS","CCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",500,229.077264521,"C10H15NO3S",-2.24,230.084540521,274.075464521,124.23400000002,124.64200000002,124.752,125.52799999998,125.607,125.91700000002,117.29599999998,118.22599999998,118.38499999998,118.41,118.45900000002,118.36999999998
"C6-APS","C6-APS","CCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",600,243.092914585,"C11H17NO3S",-1.79,244.100190585,288.091114585,204.42499999998,204.83899999998,204.94699999998,205.12000000002,205.206,204.91099999998,201.67600000002,202.014,202.167,202.19200000002,202.24000000002,202.152
"C7-APS","C7-APS","CCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",700,257.10856465,"C12H19NO3S",-1.35,258.11584065,302.10676465,247.51300000002,247.926,248.03500000002,248.208,248.29399999998,248.004,245.36200000002,245.7,245.859,245.87800000002,245.92600000002,245.838
"C8-APS","C8-APS","CCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",800,271.124214714,"C13H21NO3S",-0.9,272.131490714,316.122414714,281.62399999998,282.03700000002,282.14599999998,282.31900000002,282.405,282.11500000002,280.07200000002,280.41,280.56799999998,279.98899999998,280.63600000002,280.54699999998
"C9-APS","C9-APS","CCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",900,285.139864779,"C14H23NO3S",-0.46,286.147140779,330.138064779,311.54599999998,311.96599999998,312.06799999998,312.24100000002,312.327,312.03700000002,309.99400000002,310.338,310.48999999998,309.91099999998,310.55800000002,310.46899999998
"C10-APS","C10-APS","CCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1000,299.155514843,"C15H25NO3S",-0.02,300.162790843,344.153714843,339.07399999998,339.49399999998,338.99800000002,339.17599999998,339.26299999998,339.56500000002,337.52200000002,337.866,337.42000000002,337.44,337.488,337.39900000002
