"","Name","SMILES","RTI","exact mass","formula","logP","mz_pos","mz_neg","NAPS_POS_1","NAPS_POS_2","NAPS_POS_3","NAPS_POS_4","NAPS_POS_5","NAPS_POS_6","NAPS_POS_7","NAPS_POS_8","NAPS_POS_9","NAPS_POS_10","NAPS_NEG_1","NAPS_NEG_2","NAPS_NEG_3","NAPS_NEG_4","NAPS_NEG_5","NAPS_NEG_6","NAPS_NEG_7","NAPS_NEG_8","NAPS_NEG_9","NAPS_NEG_10"
"C1-APS","C1-APS","C[N+]1=CC(=CC=C1)S([O-])(=O)=O",100,173.014664263,"C6H7NO3S",-4.01,174.021940263,218.012864263,27.41299999998,27.39199999998,27.23500000002,27.18799999998,27.19300000002,27.26500000002,26.86300000002,27.39400000002,26.99800000002,27.11299999998,26.823,27.417,27.18400000002,26.60500000002,27.32899999998,26.78800000002,27.264,27.19900000002,26.85400000002,26.72299999998
"C2-APS","C2-APS","CC[N+]1=CC(=CC=C1)S([O-])(=O)=O",200,187.030314328,"C7H9NO3S",-3.65,188.037590328,232.028514328,28.60900000002,28.58899999998,28.43200000002,28.38499999998,28.39000000002,28.46200000002,28.65799999998,28.59100000002,28.79299999998,28.30999999998,28.61899999998,28.614,28.38100000002,28.39999999998,28.52599999998,28.58299999998,28.461,28.39600000002,28.64899999998,28.518
"C3-APS","C3-APS","CCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",300,201.045964392,"C8H11NO3S",-3.13,202.053240392,246.044164392,33.99499999998,33.975,33.219,33.771,33.77599999998,33.249,33.44599999998,33.37900000002,33.58000000002,33.696,33.40600000002,33.402,33.76699999998,33.18799999998,33.31399999998,33.37099999998,33.24799999998,33.183,33.43600000002,33.306
"C4-APS","C4-APS","CCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",400,215.061614457,"C9H13NO3S",-2.68,216.068890457,260.059814457,53.145,52.527,50.574,50.52700000002,51.13099999998,51.20200000002,50.80000000002,50.73400000002,50.93500000002,51.051,50.76100000002,50.75599999998,50.52400000002,50.54200000002,50.66800000002,50.72599999998,50.60299999998,50.538,50.19400000002,50.65999999998
"C5-APS","C5-APS","CCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",500,229.077264521,"C10H15NO3S",-2.24,230.084540521,274.075464521,126.75400000002,126.73300000002,120.59200000002,120.549,121.14799999998,120.621,120.819,120.75700000002,120.95299999998,121.071,118.38499999998,118.97899999998,118.746,118.76500000002,119.48899999998,118.94899999998,119.42299999998,119.35900000002,119.01499999998,119.481
"C6-APS","C6-APS","CCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",600,243.092914585,"C11H17NO3S",-1.79,244.100190585,288.091114585,205.74799999998,205.72699999998,203.17600000002,203.13400000002,203.14099999998,203.20600000002,202.80499999998,202.743,202.93900000002,203.05699999998,202.16599999998,202.16200000002,202.527,202.54600000002,202.67200000002,202.13200000002,202.60699999998,202.548,202.19800000002,202.66399999998
"C7-APS","C7-APS","CCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",700,257.10856465,"C12H19NO3S",-1.35,258.11584065,302.10676465,248.835,248.81500000002,246.264,246.82600000002,246.82699999998,246.294,246.498,246.429,246.62500000002,246.74899999998,245.853,245.84800000002,246.21400000002,246.23200000002,245.76,245.82400000002,246.29299999998,246.234,245.89000000002,246.34999999998
"C8-APS","C8-APS","CCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",800,271.124214714,"C13H21NO3S",-0.9,272.131490714,316.122414714,282.94600000002,282.32800000002,280.97500000002,280.93699999998,280.938,281.00299999998,281.20699999998,281.145,280.73599999998,280.86,280.56199999998,280.55800000002,280.32499999998,280.34299999998,280.47,280.53400000002,280.404,280.34500000002,280.60000000002,280.461
"C9-APS","C9-APS","CCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",900,285.139864779,"C14H23NO3S",-0.46,286.147140779,330.138064779,312.27,312.25000000002,310.89700000002,310.85899999998,310.866,310.92499999998,310.53100000002,311.067,311.25700000002,310.782,310.48900000002,310.48000000002,310.24699999998,310.26799999998,310.392,310.45600000002,310.329,310.26700000002,310.52200000002,310.383
"C10-APS","C10-APS","CCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1000,299.155514843,"C15H25NO3S",-0.02,300.162790843,344.153714843,339.798,339.77800000002,338.42500000002,338.388,338.394,338.45800000002,338.05900000002,337.99699999998,338.18599999998,338.31100000002,337.419,338.00800000002,337.77499999998,337.79599999998,337.92,337.98400000002,337.857,337.80199999998,338.05000000002,337.91200000002
"C11-APS","C11-APS","CCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1100,313.171164907,"C16H27NO3S",0.43,314.178440907,358.169364907,365.53099999998,364.91299999998,364.158,364.12099999998,364.12699999998,364.191,363.792,363.73000000002,363.91900000002,364.04299999998,363.15199999998,363.14200000002,363.50800000002,363.52900000002,363.65299999998,363.723,363.58999999998,363.53500000002,363.789,363.645
"C12-APS","C12-APS","CCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1200,327.186814972,"C17H29NO3S",0.87,328.194090972,372.185014972,390.072,390.05200000002,388.69399999998,388.66300000002,388.66300000002,388.72699999998,388.33399999998,388.86499999998,388.461,388.58599999998,388.28599999998,388.27699999998,388.044,388.065,388.18900000002,388.25899999998,388.12600000002,388.071,388.326,388.18099999998
"C13-APS","C13-APS","CCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1300,341.202465036,"C18H31NO3S",1.32,342.209741036,386.200665036,414.01000000002,413.98900000002,412.638,412.60000000002,412.60099999998,412.66399999998,412.87000000002,412.80799999998,412.99699999998,412.52299999998,412.224,412.21399999998,411.981,412.60099999998,412.12600000002,412.197,412.06300000002,412.00900000002,412.263,412.12399999998
"C14-APS","C14-APS","CCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1400,355.218115101,"C19H33NO3S",1.76,356.225391101,400.216315101,437.349,437.32900000002,436.57600000002,436.53799999998,436.539,436.602,436.21000000002,436.14700000002,436.33600000002,436.461,436.161,436.155,435.91900000002,435.94000000002,436.06399999998,436.134,436.00099999998,435.94600000002,436.20100000002,436.06099999998
"C15-APS","C15-APS","CCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1500,369.233765165,"C20H35NO3S",2.21,370.241041165,414.231965165,460.68799999998,460.668,459.915,459.87700000002,459.88399999998,459.94099999998,459.549,460.08499999998,459.675,459.79999999998,459.507,459.49399999998,459.258,459.28600000002,459.40300000002,459.474,459.34600000002,459.28600000002,459.54,459.40000000002
"C16-APS","C16-APS","CCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1600,383.249415229,"C21H37NO3S",2.65,384.256691229,428.247615229,484.02700000002,484.00699999998,483.25399999998,483.216,483.22300000002,482.682,482.88799999998,482.826,483.01399999998,483.13900000002,482.247,482.235,482.59699999998,482.625,482.14399999998,482.214,482.68600000002,482.631,482.28100000002,482.739
"C17-APS","C17-APS","CCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1700,397.265065294,"C22H39NO3S",3.1,398.272341294,442.263265294,506.76799999998,506.748,505.39600000002,505.359,505.96399999998,506.02699999998,505.629,505.566,505.755,505.87999999998,504.98800000002,504.97600000002,505.34299999998,505.36600000002,504.885,504.95500000002,505.42600000002,504.77299999998,505.02100000002,505.48000000002
"C18-APS","C18-APS","CCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1800,411.280715358,"C23H41NO3S",3.54,412.287991358,456.278915358,528.312,528.29200000002,527.53900000002,527.50099999998,527.508,527.571,527.77699999998,527.709,527.89699999998,527.43,527.13,526.51999999998,526.887,526.90900000002,527.02699999998,527.10400000002,526.96999999998,526.91500000002,527.17000000002,527.622
"C19-APS","C19-APS","CCCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1900,425.296365423,"C24H43NO3S",3.99,426.303641423,470.294565423,549.264,549.243,548.484,548.45299999998,548.45299999998,548.517,548.72299999998,548.65399999998,548.25,548.376,548.076,548.06299999998,547.83199999998,547.85500000002,547.97200000002,547.45099999998,547.91500000002,547.86100000002,548.115,547.96900000002
"C20-APS","C20-APS","CCCCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",2000,439.312015487,"C25H45NO3S",4.43,440.319291487,484.310215487,569.01199999998,568.992,568.239,568.20100000002,568.20199999998,568.26499999998,567.873,568.40899999998,567.999,568.12399999998,567.82399999998,567.81199999998,567.58099999998,567.603,567.72100000002,567.798,567.66400000002,567.609,567.26599999998,567.72400000002
