"","Name","SMILES","RTI","exact mass","formula","logP","mz_pos","mz_neg","NAPS_POS_1","NAPS_POS_2","NAPS_POS_3","NAPS_POS_4","NAPS_POS_5","NAPS_POS_6","NAPS_NEG_1","NAPS_NEG_2","NAPS_NEG_3","NAPS_NEG_4","NAPS_NEG_5","NAPS_NEG_6"
"C1-APS","C1-APS","C[N+]1=CC(=CC=C1)S([O-])(=O)=O",100,173.014664263,"C6H7NO3S",-4.01,174.021940263,218.012864263,26.82,26.23300000002,NA,27.06100000002,NA,27.02299999998,26.44900000002,26.71900000002,26.256,26.865,26.385,26.24800000002
"C2-APS","C2-APS","CC[N+]1=CC(=CC=C1)S([O-])(=O)=O",200,187.030314328,"C7H9NO3S",-3.65,188.037590328,232.028514328,27.49699999998,27.58699999998,28.33900000002,28.41499999998,28.45000000002,28.377,27.44599999998,27.219,26.75500000002,27.86299999998,27.384,27.24700000002
"C3-APS","C3-APS","CCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",300,201.045964392,"C8H11NO3S",-3.13,202.053240392,246.044164392,NA,NA,NA,NA,NA,NA,30.438,30.21400000002,30.25099999998,30.85900000002,30.37900000002,30.24199999998
"C4-APS","C4-APS","CCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",400,215.061614457,"C9H13NO3S",-2.68,216.068890457,260.059814457,43.74,43.83,43.905,43.98100000002,44.69299999998,44.62000000002,42.40699999998,42.19699999998,42.73300000002,42.34300000002,42.363,42.22600000002
"C5-APS","C5-APS","CCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",500,229.077264521,"C10H15NO3S",-2.24,230.084540521,274.075464521,129.69299218752,128.43100000002,129.18200781252,129.25799218752,129.96699218748,129.89300781252,122.199,122.085,122.62000000002,120.732,122.25100000002,122.61199999998
"C6-APS","C6-APS","CCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",600,243.092914585,"C11H17NO3S",-1.79,244.100190585,288.091114585,206.84899999998,206.94199999998,207.01099999998,207.087,207.11899999998,207.04699999998,203.48599999998,203.47000000002,204.00499999998,203.61499999998,203.63599999998,203.49799999998
"C7-APS","C7-APS","CCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",700,257.10856465,"C12H19NO3S",-1.35,258.11584065,302.10676465,250.839,250.93699999998,251.004,251.07799999998,251.109,251.037,247.87000000002,247.90699999998,247.94299999998,248.052,248.073,247.935
"C8-APS","C8-APS","CCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",800,271.124214714,"C13H21NO3S",-0.9,272.131490714,316.122414714,285.35800000002,285.453,285.52000000002,285.594,285.62500000002,285.55300000002,282.77899999998,282.858,282.894,282.504,282.525,282.88600000002
"C9-APS","C9-APS","CCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",900,285.139864779,"C14H23NO3S",-0.46,286.147140779,330.138064779,315.13600000002,315.231,315.29800000002,316.04800000002,315.40300000002,315.33100000002,312.70099999998,312.81499999998,312.852,312.46399999998,312.48199999998,312.843
"C10-APS","C10-APS","CCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1000,299.155514843,"C15H25NO3S",-0.02,300.162790843,344.153714843,342.207,342.30199999998,342.369,342.44299999998,342.474,342.402,339.63,339.777,339.813,339.92500000002,339.94399999998,339.80500000002
"C11-APS","C11-APS","CCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1100,313.171164907,"C16H27NO3S",0.43,314.178440907,358.169364907,367.251,367.34299999998,367.41,368.16,368.19199999998,368.11999999998,365.064,365.241,365.27800000002,365.38900000002,365.40799999998,365.26900000002
"C12-APS","C12-APS","CCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1200,327.186814972,"C17H29NO3S",0.87,328.194090972,372.185014972,392.29099999998,391.707,392.44999999998,392.52400000002,392.556,392.484,389.50000000002,389.70700000002,389.74300000002,389.85499999998,389.87299999998,389.73499999998
"C13-APS","C13-APS","CCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1300,341.202465036,"C18H31NO3S",1.32,342.209741036,386.200665036,415.97800000002,416.07,416.13799999998,416.88799999998,416.92000000002,416.84800000002,413.93599999998,413.67700000002,413.709,413.82100000002,413.84200000002,413.70100000002
"C14-APS","C14-APS","CCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1400,355.218115101,"C19H33NO3S",1.76,356.225391101,400.216315101,440.34199999998,440.43400000002,440.502,441.252,441.28399999998,440.53600000002,437.874,437.643,437.67499999998,437.787,437.808,437.667
"C15-APS","C15-APS","CCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1500,369.233765165,"C20H35NO3S",2.21,370.241041165,414.231965165,464.03200000002,464.127,464.86600000002,464.93899999998,464.97100000002,464.89999999998,461.811,461.61,461.64100000002,461.75299999998,461.77399999998,461.637
"C16-APS","C16-APS","CCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1600,383.249415229,"C21H37NO3S",2.65,384.256691229,428.247615229,488.39599999998,488.49100000002,488.553,489.303,489.33499999998,489.264,485.74900000002,485.57599999998,485.60800000002,485.71900000002,485.74000000002,485.60299999998
"C17-APS","C17-APS","CCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1700,397.265065294,"C22H39NO3S",3.1,398.272341294,442.263265294,512.08399999998,512.17796875002,512.23999999998,512.98999999998,NA,512.27696875002,508.18999999998,508.044,507.57700000002,507.68800000002,507.70900000002,NA
