"chrom_peak_id","mz","rt","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP036310",154.047384251315,38.1332528598518,154.046998890802,154.047954160097,35.162665281822,44.0750483818441,125884.804212793,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",-7.88966853804141e-05,0.512158290491383,"pos","1_2",154.047463148,"C5H9NO3Na",13,5,1,0.937901981472897,0,0,0,323.880960222671,1
"CP404611",130.051123145436,38.4078307974427,130.050600537106,130.051405817037,35.3887698127411,51.6851795069896,5568749.95106254,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",0.000155997436024791,1.19951000323791,"neg","1_2",130.050967148,"C5H8NO3",3,1,1,0.937901981472897,6,1,1,329.999288619,1
"CP036560",132.065730915376,38.1332528598518,132.065135475121,132.06599351444,33.9742661061967,50.0179919646369,4210913.15983323,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.000211767375702721,1.60350239085042,"pos","1_2",132.065519148,"C5H10NO3",13,1,1,0.936891346162347,6,2,2,323.880960222671,1
"CP033829",154.038969642378,26.8504587385505,154.038254347216,154.040883448899,25.6534587385505,28.6313893327654,3944.32841711621,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",-0.00849350562239692,55.1356409825253,"pos","1_2",154.047463148,"C5H9NO3Na",4,0,0,0,0,0,0,0,1
"CP657728",176.045261434905,31.7650937439377,176.042686331877,176.057821099059,29.3471739666606,41.425701900326,78790.5861489742,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-",-0.0111817130947713,63.5120924564604,"neg","1_2",176.056443148,"C6H10NO5",2,2,1,0.92282242615148,0,0,0,268.231470440139,1
"CP039053",154.059425119721,209.110557531497,154.056776060552,154.060800097126,207.314296441721,210.308262468453,1085.93559820062,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0119619717211492,77.6512087684095,"pos","1_2",154.047463148,"C5H9NO3Na",2,0,0,0,0,0,0,610.39409928985,7
"CP402954",130.039866605687,30.5558674409045,130.039084095304,130.040732929671,28.7434358706127,32.9741430677161,3360.19315322606,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",-0.0111005423130166,85.355323043342,"neg","1_2",130.050967148,"C5H8NO3",1,1,1,0.937901981472897,0,0,0,244.458221584675,1
"CP038617",154.060856041223,167.882515472935,154.059501515803,154.061771708782,164.900806826385,172.655266571855,52355.3287339369,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0133928932234824,86.9400439955005,"pos","1_2",154.047463148,"C5H9NO3Na",1,0,0,0,0,0,0,554.17427173222,5
"CP038517",154.061245707356,154.169974289693,154.060568296592,154.062516813751,149.402189762048,161.322860420347,43627.5101704051,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0137825593564287,89.4695639563191,"pos","1_2",154.047463148,"C5H9NO3Na",4,0,0,0,3,0,0,537.075060839574,4
"CP037396",154.061366801462,60.7164304696798,154.06113943619,154.061776245165,55.9608320810651,74.3902796005706,4135505.7910247,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0139036534615116,90.2556470414169,"pos","1_2",154.047463148,"C5H9NO3Na",6,2,1,0.937901981472897,6,0,0,412.000760196472,2
