chrom_peak_id,mzmin,mzmax,rtmin,rtmax,into,target_ChEBI.name,target_ChEBI,target_InChIKey,target_formula,target_M,adduct,mixture,ms1_adduct_count,ms1_adduct_05_count,isopeak_count,isopeak_sim,ms2_count,ms2_matched_count,ms2_true_count,RTI,rt_regions,rtmed,mzmed,number_of_peaks
CP393809|CP021697|CP023748|CP025068|CP021929,219.0971488,219.0996284,22.07753784,29.99404766,4.70E+04,5-hydroxy-L-tryptophan,CHEBI:17780,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.0847922,[M-H]-|[M+H]+|[M+Na]+|[M+H]+|[M+Na]+,1_1,10,1,1,0.175381112,0,0,0,0|0|0|0|0,1,25.93044022,229.487228,5
CP396003|CP395863|CP636221|CP636265|CP636220|CP395330|CP395675|CP024857,219.0770055,219.077772,33.99176023,55.35512731,1.10E+06,5-hydroxy-L-tryptophan,CHEBI:17780,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.0847922,[M-H]-|[M+CHO2]-|[M+H]+|[M+Na]+|[M+H]+|[M+CHO2]-|[M-H]-|[M+H]+,1_1,72,18,8,0.873284333,24,3,3,359.090344308663|359.090344308663|350.039258190606|350.039258190606|350.039258190606|359.090344308663|359.090344308663|350.039258190606,2,43.09506947,234.3435633,8
CP025091,221.0901252,221.0930467,61.33681967,72.04145836,2.00E+04,5-hydroxy-L-tryptophan,CHEBI:17780,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.0847922,[M+H]+,1_1,3,2,1,0.876905558,0,0,0,419.4279005,3,66.09453421,221.0918592,1
CP026733,243.0621825,243.0658464,271.8128522,275.4332087,1.10E+03,5-hydroxy-L-tryptophan,CHEBI:17780,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.0847922,[M+Na]+,1_1,1,0,0,0,0,0,0,775.940905,4,273.6237021,243.0646199,1
CP027527,221.0484801,221.0520985,367.1360322,370.7271585,1.90E+03,5-hydroxy-L-tryptophan,CHEBI:17780,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.0847922,[M+H]+,1_1,0,0,0,0,0,0,0,1119.377658,5,369.5300382,221.050394,1
CP027886,221.141018,221.1459582,406.0563842,409.0557107,8.60E+02,5-hydroxy-L-tryptophan,CHEBI:17780,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.0847922,[M+H]+,1_1,0,0,0,0,0,0,0,1276.441623,6,407.8531247,221.1432245,1
CP028088,221.1141389,221.1174665,428.2414364,434.2396726,5.00E+03,5-hydroxy-L-tryptophan,CHEBI:17780,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.0847922,[M+H]+,1_1,1,0,0,0,0,0,0,1375.07866,7,431.240469,221.1152975,1
CP028203,221.0946393,221.0962701,443.2385599,448.036882,4.30E+03,5-hydroxy-L-tryptophan,CHEBI:17780,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.0847922,[M+H]+,1_1,2,0,0,0,0,0,0,1435.978177,8,445.6372806,221.095088,1
CP029512,221.1380064,221.140571,551.5703999,554.5611823,1.00E+03,5-hydroxy-L-tryptophan,CHEBI:17780,LDCYZAJDBXYCGN-VIFPVBQESA-N,C11H12N2O3,220.0847922,[M+H]+,1_1,3,0,0,0,0,0,0,1918.853527,9,552.7664486,221.139219,1
CP025418|CP397041|CP022171|CP395017|CP021512|CP636272|CP657407,260.0523936,260.0534258,21.47953784,42.07491733,2.60E+05,alpha-D-glucosamine 6-phosphate,CHEBI:15873,XHMJOUIAFHJHBW-UKFBFLRUSA-N,C6H14NO8P,259.045703,[M+H]+|[M-H]-|[M+Na]+|[M+CHO2]-|[M+Na]+|[M+H]+|[M-H]-,1_1,70,16,7,0.914123692,0,0,0,0|0|0|209.670155722582|0|0|0,1,25.88980334,272.0588834,7
CP024535|CP024603,282.0753323,282.0806147,41.71874158,47.06858871,2.00E+03,alpha-D-glucosamine 6-phosphate,CHEBI:15873,XHMJOUIAFHJHBW-UKFBFLRUSA-N,C6H14NO8P,259.045703,[M+Na]+|[M+H]+,1_1,14,3,1,0.458078942,0,0,0,353.293553333574|366.321943590082,2,44.69061025,271.0395468,2
CP397142,258.0369441,258.0376079,159.5886994,162.5952139,1.10E+03,alpha-D-glucosamine 6-phosphate,CHEBI:15873,XHMJOUIAFHJHBW-UKFBFLRUSA-N,C6H14NO8P,259.045703,[M-H]-,1_1,2,2,1,0.916350997,0,0,0,551.8903544,3,161.3924856,258.0372118,1
CP397856,304.023886,304.0292834,300.2685231,316.3641285,3.30E+04,alpha-D-glucosamine 6-phosphate,CHEBI:15873,XHMJOUIAFHJHBW-UKFBFLRUSA-N,C6H14NO8P,259.045703,[M+CHO2]-,1_1,3,0,0,0,0,0,0,896.801712,4,309.2089123,304.0267011,1
CP027982,282.0807542,282.0859068,407.8531247,418.0458167,1.50E+04,alpha-D-glucosamine 6-phosphate,CHEBI:15873,XHMJOUIAFHJHBW-UKFBFLRUSA-N,C6H14NO8P,259.045703,[M+Na]+,1_1,4,0,0,0,0,0,0,1288.972354,5,410.8529816,282.0832612,1
CP028826,260.0551296,260.057551,501.3225177,504.3148208,9.70E+02,alpha-D-glucosamine 6-phosphate,CHEBI:15873,XHMJOUIAFHJHBW-UKFBFLRUSA-N,C6H14NO8P,259.045703,[M+H]+,1_1,2,0,0,0,0,0,0,1686.023886,6,503.1179804,260.0561566,1
CP023911|CP394989|CP394966|CP025881|CP393836|CP393826,365.1048296,365.1088649,23.27453784,34.22644828,7.30E+04,alpha-D-glucosyl-(1->4)-alpha-D-mannose,CHEBI:47937,GUBGYTABKSRVRQ-DKBJLJRDSA-N,C12H22O11,342.1162115,[M+Na]+|[M-H]-|[M+CHO2]-|[M+Na]+|[M+CHO2]-|[M-H]-,1_1,51,21,6,0.850572737,0,0,0,0|0|0|226.852812536571|0|0,1,27.1367549,364.4497156,6
CP396338,387.114862,387.1176076,84.91531937,87.92987872,7.50E+02,alpha-D-glucosyl-(1->4)-alpha-D-mannose,CHEBI:47937,GUBGYTABKSRVRQ-DKBJLJRDSA-N,C12H22O11,342.1162115,[M+CHO2]-,1_1,2,1,1,0.841894419,0,0,0,453.2107108,2,86.120445,387.1163748,1
CP028546|CP028555|CP028444|CP028445,365.1347221,365.1369505,463.6277527,476.7988267,2.60E+04,alpha-D-glucosyl-(1->4)-alpha-D-mannose,CHEBI:47937,GUBGYTABKSRVRQ-DKBJLJRDSA-N,C12H22O11,342.1162115,[M+Na]+|[M+H]+|[M+H]+|[M+Na]+,1_1,1,0,0,0,0,0,0,1535.78838616619|1540.98630010176|1540.98630010176|1543.5828355724,3,470.0662025,354.1524868,4
CP029750,343.127311,343.1334521,568.9193353,571.9114464,9.20E+02,alpha-D-glucosyl-(1->4)-alpha-D-mannose,CHEBI:47937,GUBGYTABKSRVRQ-DKBJLJRDSA-N,C12H22O11,342.1162115,[M+H]+,1_1,3,0,0,0,0,0,0,0,4,570.7153353,343.1305913,1
CP024771|CP024772|CP021703|CP395455|CP395456|CP395331|CP022841|CP394464|CP020873|CP022656|CP394156|CP636248|CP395125,227.1136754,227.1142942,20.88053784,48.8516508,2.90E+05,carnosine,CHEBI:15727,CQOVPNPJLQNMDC-ZETCQYMHSA-N,C9H14N4O3,226.1065903,[M+H]+|[M+H]+|[M+Na]+|[M-H]-|[M-H]-|[M+CHO2]-|[M+H]+|[M-H]-|[M+H]+|[M+H]+|[M-H]-|[M+H]+|[M+CHO2]-,1_1,71,17,10,0.682825405,33,8,8,0|350.039258190606|0|0|359.090344308663|359.090344308663|122.330552571532|190.575361307978|0|0|0|172.004076091936|315.854598922177,1,30.43564706,234.9484143,13
CP026000,227.0742233,227.0759759,169.1321483,173.3090303,3.10E+03,carnosine,CHEBI:15727,CQOVPNPJLQNMDC-ZETCQYMHSA-N,C9H14N4O3,226.1065903,[M+H]+,1_1,1,0,0,0,0,0,0,558.708977,2,171.519077,227.0750093,1
