"chrom_peak_id","mz","rt","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP0653607",223.205533790554,412.218619409429,223.203982144921,223.206318611892,409.826087326239,415.80795415393,7502.26297094858,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+H]+",-0.000107661446321572,0.48234195883765,"pos","15_4",223.205641452,"C15H27O",6,3,1,0.84768810282121,0,0,0,1297.76625919357,4
"CP0651870",223.20578131789,375.687114806685,223.204728829074,223.20642575714,373.291901108444,377.483637639128,6608.06473397063,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+H]+",0.000139865889735802,0.626623452821105,"pos","15_4",223.205641452,"C15H27O",8,2,1,0.84768810282121,0,0,0,1147.69732018617,3
"CP0654122",245.173500096973,457.065955523404,245.171492232238,245.175129958254,455.870774272893,458.860230646412,989.702576764437,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+Na]+",-0.014085355026964,57.4472602313767,"pos","15_4",245.187585452,"C15H26ONa",5,0,0,0,0,0,0,1488.55330358375,6
"CP0652978",223.190795603816,385.269169902679,223.188637201328,223.192067038289,382.873393302026,387.66802679524,5202.99428906245,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+H]+",-0.0148458481837395,66.5119756255446,"pos","15_4",223.205641452,"C15H27O",3,3,1,0.84768810282121,0,0,0,1186.7400220136,3
"CP0651235",245.166772638209,331.372206379661,245.165124512726,245.168634144059,329.575077708621,333.168390887413,1317.30295660401,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+Na]+",-0.0208128137907693,84.8852675489305,"pos","15_4",245.187585452,"C15H26ONa",4,0,0,0,0,0,0,974.746433507139,1
"CP0651234",245.154344639074,331.372206379661,245.153609212775,245.155504190053,328.976713953484,333.168390887413,8513.40892817625,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+Na]+",-0.0332408129257828,135.572985330819,"pos","15_4",245.187585452,"C15H26ONa",4,0,0,0,0,0,0,974.746433507139,1
"CP1109656",267.159343281079,384.177757321165,267.15839506682,267.161918344611,378.789110750986,388.969157129341,13064.5458449169,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+CHO2]-",-0.037222170920586,139.306322510619,"neg","15_4",267.196565452,"C16H27O3",1,0,0,0,0,0,0,1182.03869665968,3
"CP1109999",267.154294529494,429.106592946074,267.150307105296,267.158064012741,426.710239311962,431.503627914095,3644.42973225408,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+CHO2]-",-0.0422709225064182,158.201593777641,"neg","15_4",267.196565452,"C16H27O3",0,0,0,0,0,0,0,1369.27727022341,5
"CP1110187",221.154483720511,451.873300006248,221.151857030926,221.155296219417,449.47719717364,457.862151037912,17700.6968420293,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M-H]-",-0.0366057314888337,165.493698591224,"neg","15_4",221.191089452,"C15H25O",0,0,0,0,0,0,0,1466.03667683389,6
"CP0652085",223.250282628275,384.670385711468,223.248447448539,223.251399370585,382.873393302026,385.868292718514,1356.52499082937,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+H]+",0.0446411762753485,200.000214980895,"pos","15_4",223.205641452,"C15H27O",3,3,1,0.84768810282121,0,0,0,1184.30023718642,3
"CP0651610",223.160004329977,348.738449162351,223.157587524427,223.163535733859,345.744458862666,351.733370804197,11824.5209994931,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+H]+",-0.0456371220227823,204.462224726504,"pos","15_4",223.205641452,"C15H27O",3,0,0,0,0,0,0,1040.76537127116,2
"CP1172409",223.159844515666,384.670385711468,223.157093554716,223.175890742489,381.676198748676,392.460147683278,117642.693006265,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+H]+",-0.0457969363343409,205.178220570153,"pos","15_4",223.205641452,"C15H27O",3,3,1,0.84768810282121,0,0,0,1184.30023718642,3
"CP0653343",205.195041454872,389.465491325655,205.194349989298,205.195495539356,386.470756917051,394.256804075914,44566.0926589751,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+H]+",-3.53131284782648e-05,0.172095398361779,"pos","15_4",205.195076768,"C15H25",5,1,1,0.849333248024576,3,0,0,1203.88666402189,5
"CP0654921",205.194988406186,463.64358128897,205.19466177856,205.1954856215,460.653591601321,467.233293012193,138469.985107574,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+H]+",-8.83618137947906e-05,0.430623459327415,"pos","15_4",205.195076768,"C15H25",7,1,1,0.849333248024576,3,1,1,1516.73628385526,8
"CP0653621",205.195169293341,405.636287728636,205.194651852453,205.195702015204,403.839429359256,408.629052609636,31710.1773179169,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+H]+",9.25253413868177e-05,0.450914041624058,"pos","15_4",205.195076768,"C15H25",7,1,1,0.849333248024576,0,0,0,1270.60750408951,6
"CP1172377",205.19527638365,375.687114806685,205.144740521056,205.199182286237,372.094809254711,384.071272436763,108160.763519025,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+H]+",0.000199615650245732,0.972809159897263,"pos","15_4",205.195076768,"C15H25",3,1,1,0.849333248024576,0,0,0,1147.69732018617,5
"CP0653620",205.195392012846,412.218619409429,205.194494430666,205.195961567984,408.629052609636,415.80795415393,55816.994099816,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+H]+",0.00031524484617762,1.5363177866789,"pos","15_4",205.195076768,"C15H25",2,1,1,0.849333248024576,0,0,0,1297.76625919357,6
"CP1172379",205.19541070962,488.786071210904,205.177647941194,205.207113349262,474.414749706641,492.378710168968,6223640.89146102,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+H]+",0.000333941620169753,1.6274348557949,"pos","15_4",205.195076768,"C15H25",9,1,1,0.849333248024576,3,0,0,1625.10694873096,9
