chrom_peak_id;mzmin;mzmax;rtmin;rtmax;into;target_ChEBI.name;target_ChEBI;target_InChIKey;target_formula;target_M;adduct;mixture;ms1_adduct_count;ms1_adduct_05_count;isopeak_count;isopeak_sim;ms2_count;ms2_matched_count;ms2_true_count;RTI;rt_regions;rtmed;mzmed;number_of_peaks;
CP241236|CP012382|CP012381|CP012117|CP241173|CP011487|CP012464|CP240516|CP012192|CP492166|CP011976|CP240218|CP241101|CP241292;130.0483855;130.0512469;23.18429532;49.30260335;235707.1744;(2R)-2-acetamidopropanoic acid;0;KTHDTJVBEPMMGL-GSVOUGTGSA-N;C5H9NO3;131.0582431;[M-H]-|[M+H]+|[M+H]+|[M+Na]+|[M+CHO2]-|[M+H]+|[M+Na]+|[M-H]-|[M+H]+|[M+CHO2]-|[M+Na]+|[M+CHO2]-|[M-H]-|[M-H]-;1_2;54;11;8;0.533573203;10;2;2;279.592328279252|288.898405676557|354.385529053133|354.385529053133|296.565895992573|231.06554265848|396.144434223886|211.765846760672|396.144434223886|0|269.601659411627|0|303.373930621274|366.920494932368;1;32.83729632;145.6281246;14;TRUE
CP012463|CP012359;154.0609706;154.0614186;49.30260335;76.03725773;689099.2341;(2R)-2-acetamidopropanoic acid;0;KTHDTJVBEPMMGL-GSVOUGTGSA-N;C5H9NO3;131.0582431;[M+Na]+|[M+H]+;1_2;6;1;1;0.468445673;6;0;0;423.708885784103|416.654168792316;2;60.99520024;143.0521264;2;FALSE
CP012511;132.0978578;132.1000461;103.47605;107.4950188;4439.124649;(2R)-2-acetamidopropanoic acid;0;KTHDTJVBEPMMGL-GSVOUGTGSA-N;C5H9NO3;131.0582431;[M+H]+;1_2;1;0;0;0;6;1;1;472.353532;3;105.4859186;132.0993995;1;FALSE
CP012581;132.0802727;132.0814462;101.4673903;123.5789441;142374.267;(2R)-2-acetamidopropanoic acid;0;KTHDTJVBEPMMGL-GSVOUGTGSA-N;C5H9NO3;131.0582431;[M+H]+;1_2;1;0;0;0;12;1;1;485.7094449;4;116.87544;132.0807987;1;FALSE
CP012613|CP012617|CP012603;132.0648922;132.0650225;144.981769;170.3293222;13381.3628;(2R)-2-acetamidopropanoic acid;0;KTHDTJVBEPMMGL-GSVOUGTGSA-N;C5H9NO3;131.0582431;[M+H]+|[M+Na]+|[M+Na]+;1_2;2;1;1;0.312297115;0;0;0;546.153988857011|549.585578672287|534.157873180147;5;162.7632393;146.7289754;3;FALSE
CP242297;176.016313;176.0179239;291.5165483;294.4956748;862.5430698;(2R)-2-acetamidopropanoic acid;0;KTHDTJVBEPMMGL-GSVOUGTGSA-N;C5H9NO3;131.0582431;[M+CHO2]-;1_2;0;0;0;0;0;0;0;834.0271893;6;293.0060704;176.0173016;1;FALSE
CP243456;130.0003176;130.0028825;497.4788481;499.9736481;798.845516;(2R)-2-acetamidopropanoic acid;0;KTHDTJVBEPMMGL-GSVOUGTGSA-N;C5H9NO3;131.0582431;[M-H]-;1_2;1;0;0;0;0;0;0;0;7;498.4772481;130.0017349;1;FALSE
CP032129|CP031474|CP262606;120.0638222;120.0659868;23.32816502;42.73680516;1401102.262;(2R)-2-amino-3-methoxypropanoic acid;0;KNTFCRCCPLEUQZ-GSVOUGTGSA-N;C4H9NO3;119.0582431;[M+H]+|[M+Na]+|[M-H]-;1_5;13;7;3;0.948220461;6;0;0;106.557203834502|0|0;1;26.13137108;126.7212379;3;TRUE
CP031955;142.0847703;142.0869789;38.06000073;41.40003464;691.9080089;(2R)-2-amino-3-methoxypropanoic acid;0;KNTFCRCCPLEUQZ-GSVOUGTGSA-N;C4H9NO3;119.0582431;[M+Na]+;1_5;3;0;0;0;0;0;0;370.4427864;2;40.06422554;142.0860169;1;FALSE
CP263130;164.0410054;164.0445447;141.0705625;149.1342428;2119.182294;(2R)-2-amino-3-methoxypropanoic acid;0;KNTFCRCCPLEUQZ-GSVOUGTGSA-N;C4H9NO3;119.0582431;[M+CHO2]-;1_5;0;0;0;0;0;0;0;527.9543881;3;145.1031788;164.0428413;1;FALSE
CP263765;164.070341;164.0731403;219.8885718;223.331866;1719.779251;(2R)-2-amino-3-methoxypropanoic acid;0;KNTFCRCCPLEUQZ-GSVOUGTGSA-N;C4H9NO3;119.0582431;[M+CHO2]-;1_5;0;0;0;0;0;0;0;641.0039911;4;221.8561386;164.0717466;1;FALSE
CP099399|CP340948;191.0259211;191.029232;21.28765962;29.00734484;1674.037444;(3,4-dihydroxyphenyl)acetic acid;CHEBI:41941;CFFZDZCDUFSOFZ-UHFFFAOYSA-N;C8H8O4;168.0422587;[M+Na]+|[M+CHO2]-;2_8;3;0;0;0;0;0;0;0|0;1;25.14468512;202.056204;2;
CP342066|CP342065|CP100055;213.0404169;213.044592;43.02687721;65.77108701;7867.141727;(3,4-dihydroxyphenyl)acetic acid;CHEBI:41941;CFFZDZCDUFSOFZ-UHFFFAOYSA-N;C8H8O4;168.0422587;[M+CHO2]-|[M+CHO2]-|[M+Na]+;2_8;7;0;0;0;0;0;0;405.297257220025|414.83392123825|421.211644107532;2;54.39682608;205.6990874;3;
CP342780|CP100237|CP100235|CP342696;167.0349038;167.035189;96.21187858;119.4544693;855660.9868;(3,4-dihydroxyphenyl)acetic acid;CHEBI:41941;CFFZDZCDUFSOFZ-UHFFFAOYSA-N;C8H8O4;168.0422587;[M-H]-|[M+Na]+|[M+H]+|[M+CHO2]-;2_8;25;9;3;0.682100359;0;0;0;483.988580453676|481.708534468507|481.708534468507|484.6223076507;3;111.8099576;185.0381109;4;
