"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP095176|CP013214",130.050111526161,130.050410581817,38.778490130763,46.3153796065612,10121.3191394133,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-|[M+Na]+","1_2",2,2,2,0.937901981472897,8,0,0,"252.642427511135|330.922918840406",1,41.9146502034467,142.048502643359,2
"CP013248",154.060335182093,154.060603805056,60.363244748725,69.654750632526,8985.71007892633,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+","1_2",1,0,0,0,11,1,0,"408.286750284435",2,63.0255116881631,154.060463798475,1
"CP013362",132.079349094963,132.079658420741,108.59860361755,112.776792138634,442.470067724454,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+","1_2",1,0,0,0,0,0,0,"463.640323760172",3,110.592221215206,132.079489411532,1
"CP024843",120.064546557091,120.065168712938,24.9363773784455,29.1177265514231,1113.51986250331,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+H]+","1_5",1,3,1,0.947531305510868,1,0,0,"0",1,27.0003773784455,120.064920676409,1
"CP108806",164.063729136401,164.064579541125,219.744994793921,225.263524616565,1286.86689239631,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+CHO2]-","1_5",1,0,0,0,3,0,0,"603.850035735263",2,221.726505998845,164.063942641643,1
"CP025091",120.075348499667,120.076474233053,102.802353039185,110.780927473725,1080.71591612712,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+H]+","1_5",1,0,0,0,0,0,0,"460.853336963933",3,106.870241754407,120.075771756111,1
"CP157808|CP058544|CP058538",167.034542251719,167.034755985645,66.8409624058741,77.310767805565,17289.091507875,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M-H]-|[M+H]+|[M+Na]+","2_8",3,9,3,0.909467145003601,16,3,3,"417.715592603448|418.705551557318|418.705551557318",1,70.7512438570508,175.704210213793,3
"CP059167|CP059163|CP059161",191.000740580448,191.001045618398,220.758054531171,227.694149768678,722.66368305159,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+Na]+|[M+Na]+|[M+H]+","2_8",3,0,0,0,4,0,0,"609.434682803015|606.220302570273|604.492643854421",2,224.587452878418,183.717858026911,3
"CP059231",191.069056081623,191.069776633475,230.490442098186,240.124705185724,2275.63422391255,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+Na]+","2_8",1,0,0,0,0,0,0,"636.198948255044",3,236.701604853777,191.069597128028,1
"CP059068",169.08479272163,169.086032069015,204.443453597689,209.03696509142,918.217645030404,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+H]+","2_8",1,0,0,0,1,0,0,"582.008158992464",4,207.049052000391,169.08510172799,1
