"mz","rt","mzmin","mzmax","rtmin","rtmax","compound_name","ChEBI","InChIKey","formula","adduct","polarity","matched_to_library","RTI","mixture"
154.047384251315,38.1332528598518,154.046998890802,154.047954160097,35.162665281822,44.0750483818441,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M+Na]+","pos",FALSE,323.880960222671,"1_2"
130.051123145436,38.4078307974427,130.050600537106,130.051405817037,35.3887698127411,51.6851795069896,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M-H]-","neg",TRUE,329.999288619,"1_2"
132.065730915376,38.1332528598518,132.065135475121,132.06599351444,33.9742661061967,50.0179919646369,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M+H]+","pos",TRUE,323.880960222671,"1_2"
176.045261434905,31.7650937439377,176.042686331877,176.057821099059,29.3471739666606,41.425701900326,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M+CHO2]-","neg",FALSE,268.231470440139,"1_2"
142.047526366379,25.5480632861979,142.04724199695,142.048007936376,23.7530632861845,29.1146070057677,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3","[M+Na]+","pos",FALSE,0,"1_5"
118.051048284803,27.2584411283219,118.05070839031,118.051238982115,24.8644411283219,33.2854488551357,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3","[M-H]-","neg",FALSE,114.568257240966,"1_5"
120.065859787216,26.1460632862179,120.063983924098,120.066146424935,23.1540632861979,36.2233019926516,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3","[M+H]+","pos",FALSE,0,"1_5"
167.035053777179,100.882990755977,167.034600774995,167.035542035327,96.6696088112244,108.104246648713,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4","[M-H]-","neg",FALSE,474.273136803788,"2_8"
169.049368883227,104.942585943146,169.048961697804,169.049788989954,100.786956949896,109.099134836758,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4","[M+H]+","pos",FALSE,471.750369394608,"2_8"
191.031703861215,104.942585943146,191.030000575429,191.032371664452,101.974329567927,107.317925180276,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4","[M+Na]+","pos",FALSE,471.750369394608,"2_8"
412.191902737292,398.240854561221,412.189823924953,412.192516538458,395.840906308626,411.435745210092,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M+H]+","pos",TRUE,1235.7375493409,"3_1"
434.173864729537,398.240854561221,434.164003850067,434.174336944138,392.241825792738,404.238997550996,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M+Na]+","pos",FALSE,1235.7375493409,"3_1"
456.182637727845,394.922915021224,456.180752727531,456.183845051167,393.129029384185,397.314343767961,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M+CHO2]-","neg",FALSE,1227.61322202073,"3_1"
410.177659463859,397.912907604725,410.176916450353,410.178056166437,395.520397177872,410.478005632941,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M-H]-","neg",TRUE,1240.10405265675,"3_1"
