"mz","rt","mzmin","mzmax","rtmin","rtmax","compound_name","ChEBI","InChIKey","formula","adduct","polarity","matched_to_library","RTI","mixture"
130.050911104662,29.7150963470394,130.048385530676,130.051246863173,26.1774953171565,35.8032091874042,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M-H]-","neg",FALSE,279.592328279252,"1_2"
132.065825711721,30.6161068682953,132.065381174291,132.065978022543,29.2819736399974,33.2850267207641,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M+H]+","pos",FALSE,288.898405676557,"1_2"
154.061349164737,43.2920659155238,154.060906530096,154.061430068563,41.2888215068326,49.3026033509384,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M+Na]+","pos",FALSE,396.144434223886,"1_2"
176.093119664599,25.6784953171365,176.089414356676,176.096823648782,23.6832953171565,28.7001825712056,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M+CHO2]-","neg",FALSE,0,"1_2"
120.065626456481,26.7047927496316,120.063822247552,120.065986831368,23.3281650209002,42.7368051578572,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3","[M+H]+","pos",FALSE,106.557203834502,"1_5"
142.047283218789,25.3589650208962,142.047133760497,142.048044933004,24.0049650208762,28.0423435855676,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3","[M+Na]+","pos",FALSE,0,"1_5"
118.050803940089,26.3303554601474,118.050213736566,118.051029369567,23.8333554601874,30.3742805332614,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3","[M-H]-","neg",FALSE,0,"1_5"
167.03505244065,109.352790342409,167.034903826145,167.035189038136,96.2118785793502,119.454469282983,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4","[M-H]-","neg",FALSE,483.988580453676,"2_8"
191.031110463157,114.014354937426,191.030252129048,191.032121461824,109.989542037166,118.040330519572,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4","[M+Na]+","pos",FALSE,481.708534468507,"2_8"
169.049186857351,114.014354937426,169.048244368118,169.049847891117,104.623871923979,118.040330519572,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4","[M+H]+","pos",FALSE,481.708534468507,"2_8"
