"mz","rt","mzmin","mzmax","rtmin","rtmax","compound_name","ChEBI","InChIKey","formula","adduct","polarity","matched_to_library","RTI","mixture"
130.050323116589,41.5360938639816,130.050111526161,130.050410581817,38.778490130763,46.3153796065612,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M-H]-","neg",FALSE,252.642427511135,"1_2"
154.046682170129,42.2932065429117,154.046560634337,154.046863794076,40.2435113684223,44.2680463000662,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3","[M+Na]+","pos",FALSE,330.922918840406,"1_2"
167.034680227903,70.224011603708,167.034542251719,167.034755985645,66.8409624058741,77.310767805565,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4","[M-H]-","neg",TRUE,417.715592603448,"2_8"
169.048852164629,71.0148599837221,169.048646900207,169.049048298257,68.5055671240315,74.7263178057108,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4","[M+H]+","pos",TRUE,418.705551557318,"2_8"
191.029098248847,71.0148599837221,191.026564855766,191.029891243658,68.2537190511029,75.3522532691738,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4","[M+Na]+","pos",FALSE,418.705551557318,"2_8"
410.177633856002,406.573856269417,410.177160462358,410.178445842076,399.533738573085,413.359102869341,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M-H]-","neg",TRUE,1235.91828787736,"3_1"
434.172684801394,405.027997297876,434.172549778828,434.172814107577,402.72945205963,407.113834222429,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M+Na]+","pos",TRUE,1230.00875751085,"3_1"
412.19043214227,405.027997297876,412.189927269708,412.190726254535,402.72945205963,407.113834222429,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M+H]+","pos",TRUE,1230.00875751085,"3_1"
192.054579008189,171.699210439842,192.054143693349,192.054944102804,169.603067191145,173.067566718154,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3","[M+H]+","pos",TRUE,538.792174625226,"2_10"
190.039607600097,173.240261104447,190.039503707632,190.039662110792,170.514468150315,176.00770084028,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3","[M-H]-","neg",FALSE,542.323268341055,"2_10"
472.158558334315,185.867922579374,472.158114118913,472.158964414375,177.292839729677,209.477303427995,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7","[M-H]-","neg",TRUE,557.853441535075,"1_6"
518.126102209176,185.867922579374,518.12352154413,518.128398216897,180.464207718299,190.064481508378,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7","[M+CHO2]-","neg",FALSE,557.853441535075,"1_6"
206.114436235058,266.245944750879,206.113888477856,206.11465352606,264.254493978127,268.354796074214,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3","[M+Na]+","pos",FALSE,710.534708619126,"2_3"
160.086326526381,133.623342692237,160.086119088771,160.086560698259,129.416193133728,140.452506648131,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M-H]-","neg",FALSE,493.345118847989,"2_4"
192.065075263397,175.613109544991,192.064995179762,192.065195073307,172.315938885416,184.913725970493,"(R)-noradrenaline","CHEBI:18357","SFLSHLFXELFNJZ-QMMMGPOBSA-N","C8H11NO3","[M+Na]+","pos",TRUE,543.738149611945,"2_9"
