"mz","rt","mzmin","mzmax","rtmin","rtmax","compound_name","ChEBI","InChIKey","formula","adduct","polarity","matched_to_library","RTI","mixture"
434.173777085029,380.928965066832,434.17096192565,434.180023741177,379.327844646908,383.445010513045,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M+Na]+","pos",FALSE,1235.36574217721,"3_1"
412.19193262377,380.928965066832,412.045288085938,412.192230224609,378.641946798532,383.215870447418,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M+H]+","pos",FALSE,1235.36574217721,"3_1"
410.17544195571,368.308317468094,410.173448436419,410.176486607259,366.425027171272,370.698604591977,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4","[M-H]-","neg",FALSE,1091.33351812625,"3_1"
182.082017149038,25.1310216265313,182.081708511252,182.082639675524,21.0190217571846,28.5610826826521,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3","[M-H]-","neg",FALSE,0,"2_3"
184.096133891051,25.0918279653718,184.09537559497,184.097515311896,21.4388099903752,31.2514713796148,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3","[M+H]+","pos",FALSE,0,"2_3"
162.113385627732,23.2800319151002,162.1129228232,162.113752771737,20.0820323184802,26.9346559934061,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M+H]+","pos",FALSE,0,"2_4"
184.090732293102,22.8230317787002,184.072111736541,184.095462091068,20.3106989816602,29.6697536727214,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M+Na]+","pos",FALSE,0,"2_4"
160.053281048355,24.6430277769465,160.04874273416,160.059244596868,21.9020277206665,27.3886936847865,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M-H]-","neg",FALSE,0,"2_4"
226.083904391548,25.3503095172219,226.078478941226,226.086636402485,22.6083086990019,28.3266418241019,"2'-deoxycytidine","CHEBI:15698","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","C9H13N3O4","[M-H]-","neg",FALSE,0,"2_8"
228.097122282429,25.1499759064587,228.062431264115,228.097573563415,21.4954459328415,27.2117441765238,"2'-deoxycytidine","CHEBI:15698","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","C9H13N3O4","[M+H]+","pos",FALSE,0,"2_8"
250.078692220572,25.1499759064587,250.005480712839,250.081992346526,21.4954459328415,29.2640473957141,"2'-deoxycytidine","CHEBI:15698","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","C9H13N3O4","[M+Na]+","pos",FALSE,0,"2_8"
272.080907791577,25.3503095172219,272.024271966144,272.094736648628,22.3803090117819,31.7588363068749,"2'-deoxycytidine","CHEBI:15698","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","C9H13N3O4","[M+CHO2]-","neg",FALSE,0,"2_8"
268.103924832289,27.110595205037,268.058481273959,268.106216788587,23.9222844718182,30.071055847387,"2'-deoxyguanosine","CHEBI:17172","YKBGVTZYEHREMT-KVQBGUIXSA-N","C10H13N5O4","[M+H]+","pos",FALSE,204.307877482309,"2_1"
266.088181300428,36.9225637709135,265.900817871094,266.091461181641,22.7419928843682,48.8249684316232,"2'-deoxyguanosine","CHEBI:17172","YKBGVTZYEHREMT-KVQBGUIXSA-N","C10H13N5O4","[M-H]-","neg",FALSE,411.575386545155,"2_1"
290.082474515942,27.3378272951591,289.951019287109,290.091430664062,25.5173330060263,36.2307704725694,"2'-deoxyguanosine","CHEBI:17172","YKBGVTZYEHREMT-KVQBGUIXSA-N","C10H13N5O4","[M+Na]+","pos",FALSE,205.096289200807,"2_1"
251.077605652771,28.7902246292333,250.97599229643,251.078431788741,23.0750207977913,33.1389223308051,"2'-deoxyinosine","CHEBI:28997","VGONTNSXDCQUGY-RRKCRQDMSA-N","C10H12N4O4","[M-H]-","neg",FALSE,0,"2_3"
253.091902917962,27.6015746882628,253.029531321005,253.094126963928,19.3828091616352,33.9864339195728,"2'-deoxyinosine","CHEBI:28997","VGONTNSXDCQUGY-RRKCRQDMSA-N","C10H12N4O4","[M+H]+","pos",FALSE,206.008141466776,"2_3"
275.079542277957,27.6015746882628,275.05480048462,275.09043828406,24.6368095869952,30.7921915079588,"2'-deoxyinosine","CHEBI:28997","VGONTNSXDCQUGY-RRKCRQDMSA-N","C10H12N4O4","[M+Na]+","pos",FALSE,206.008141466776,"2_3"
227.066723576825,35.1995613008914,226.927139282227,227.182632446289,29.9340729253498,55.1373996523906,"2'-deoxyuridine","CHEBI:16450","MXHRCPNRJAMMIM-SHYZEUOFSA-N","C9H12N2O5","[M-H]-","neg",FALSE,0,"2_3"
251.049758245462,35.581810516108,251.036682128906,251.144241333008,30.5637179065316,40.1397928809224,"2'-deoxyuridine","CHEBI:16450","MXHRCPNRJAMMIM-SHYZEUOFSA-N","C9H12N2O5","[M+Na]+","pos",FALSE,233.842288855164,"2_3"
216.042653531663,27.2993857875808,215.986307403206,216.043058208385,22.7421053892438,33.6770205112027,"3-chloro-L-tyrosine","CHEBI:53678","ACWBBAGYTKWBCD-ZETCQYMHSA-N","C9H10ClNO3","[M+H]+","pos",FALSE,204.962911318153,"1_6"
260.042868508007,28.9679003816198,260.026690017425,260.058594471444,25.0751015908428,30.5679453736931,"3-chloro-L-tyrosine","CHEBI:53678","ACWBBAGYTKWBCD-ZETCQYMHSA-N","C9H10ClNO3","[M+CHO2]-","neg",FALSE,401.823977040602,"1_6"
214.01938534754,23.7043233084028,214.014287554211,214.028656005859,19.1263230013028,25.7603241371428,"3-chloro-L-tyrosine","CHEBI:53678","ACWBBAGYTKWBCD-ZETCQYMHSA-N","C9H10ClNO3","[M-H]-","neg",FALSE,0,"1_6"
238.060365544637,23.8841045544371,238.013711585667,238.074141532544,21.3711053774771,27.2993857875808,"3-chloro-L-tyrosine","CHEBI:53678","ACWBBAGYTKWBCD-ZETCQYMHSA-N","C9H10ClNO3","[M+Na]+","pos",FALSE,0,"1_6"
117.055682421239,214.107651246597,117.054061889648,117.05655670166,211.60085828768,216.611610164896,"3-hydroxyisovaleric acid","CHEBI:37084","AXFYFNCPONWUHW-UHFFFAOYSA-N","C5H10O3","[M-H]-","neg",FALSE,659.089463986287,"2_8"
141.052840963457,213.694764668871,141.05069513662,141.059752013152,210.953414731294,215.294094203163,"3-hydroxyisovaleric acid","CHEBI:37084","AXFYFNCPONWUHW-UHFFFAOYSA-N","C5H10O3","[M+Na]+","pos",FALSE,656.996176171603,"2_8"
305.963535735658,93.488688342319,305.963016654223,305.963945809753,84.5601154382031,108.600860415913,"3-iodo-L-tyrosine","CHEBI:27847","UQTZMGFTRHFAAM-ZETCQYMHSA-N","C9H10INO3","[M-H]-","neg",FALSE,476.236162089605,"2_2"
307.978437228598,95.6164243796518,307.977960975202,307.978958633612,79.8712381943271,109.998710932781,"3-iodo-L-tyrosine","CHEBI:27847","UQTZMGFTRHFAAM-ZETCQYMHSA-N","C9H10INO3","[M+H]+","pos",FALSE,443.236137198873,"2_2"
651.796558070292,280.859111340106,651.74560546875,651.866455078125,276.970898573879,306.310455571844,"3,3',5-triiodo-L-thyronine","CHEBI:18258","AUYYCJSJGJYCDS-LBPRGKRZSA-N","C15H12I3NO4","[M+H]+","pos",FALSE,849.617580234865,"2_2"
695.789620562867,280.732483145957,695.767323697551,695.795473971158,278.680492008044,283.70709289645,"3,3',5-triiodo-L-thyronine","CHEBI:18258","AUYYCJSJGJYCDS-LBPRGKRZSA-N","C15H12I3NO4","[M+CHO2]-","neg",FALSE,850.059258526789,"2_2"
649.785123837946,280.732483145957,649.777618490153,649.787045637133,277.996713312331,289.864224098389,"3,3',5-triiodo-L-thyronine","CHEBI:18258","AUYYCJSJGJYCDS-LBPRGKRZSA-N","C15H12I3NO4","[M-H]-","neg",FALSE,850.059258526789,"2_2"
239.091907874043,266.838154524002,239.090502721741,239.108641979789,262.266131952783,270.951995746581,"3,4,5-Trimethoxycinnamic acid","CHEBI:228320","YTFVRYKNXDADBI-SNAWJCMRSA-N","C12H14O5","[M+H]+","pos",FALSE,801.519922548246,"2_7"
237.077396337791,267.116298046103,237.076630845024,237.077750958195,263.006858772808,270.768972298471,"3,4,5-Trimethoxycinnamic acid","CHEBI:228320","YTFVRYKNXDADBI-SNAWJCMRSA-N","C12H14O5","[M-H]-","neg",FALSE,801.749180960513,"2_7"
433.874195604499,178.459914849571,433.872793030408,433.877894621069,169.541804119959,180.828587368692,"3,5-diiodo-L-tyrosine","CHEBI:15768","NYPYHUZRZVSYKL-ZETCQYMHSA-N","C9H9I2NO3","[M+H]+","pos",FALSE,586.250181819545,"2_8"
431.862613877381,178.725890972211,431.856774907911,431.866047030003,175.068409406225,181.541807675661,"3,5-diiodo-L-tyrosine","CHEBI:15768","NYPYHUZRZVSYKL-ZETCQYMHSA-N","C9H9I2NO3","[M-H]-","neg",FALSE,587.476827845654,"2_8"
455.850503376136,178.23211829365,455.823572163911,455.860687255859,175.940507536148,180.628751011759,"3,5-diiodo-L-tyrosine","CHEBI:15768","NYPYHUZRZVSYKL-ZETCQYMHSA-N","C9H9I2NO3","[M+Na]+","pos",FALSE,585.954947933843,"2_8"
525.900978218945,246.934895415545,525.841430664062,525.921875,243.046564789378,269.580505023014,"3,5-Diiodothyronine","CHEBI:89575","ZHSOTLOTTDYIIK-UHFFFAOYSA-N","C15H13I2NO4","[M+H]+","pos",FALSE,742.972014258085,"2_8"
523.884330705689,247.033484865267,523.882134425466,523.885197841981,244.523182996681,256.871077281905,"3,5-Diiodothyronine","CHEBI:89575","ZHSOTLOTTDYIIK-UHFFFAOYSA-N","C15H13I2NO4","[M-H]-","neg",FALSE,744.840463214611,"2_8"
144.066527051377,38.7896210204593,144.063323974609,144.069686889648,27.116783409434,54.1451964351083,"4-acetamidobutanoic acid","CHEBI:17645","UZTFMUBKZQVKLK-UHFFFAOYSA-N","C6H11NO3","[M-H]-","neg",FALSE,0,"2_7"
168.062851328148,40.4710675443539,168.061474060557,168.064286163141,31.5743871397103,47.542985135113,"4-acetamidobutanoic acid","CHEBI:17645","UZTFMUBKZQVKLK-UHFFFAOYSA-N","C6H11NO3","[M+Na]+","pos",FALSE,0,"2_7"
184.06042858751,27.6842430474567,184.058461605984,184.069700216787,25.8482909161665,32.0307386048172,"4-pyridoxic acid","CHEBI:17405","HXACOUQIXZGNBF-UHFFFAOYSA-N","C8H9NO4","[M+H]+","pos",FALSE,0,"2_7"
182.045426046238,28.7165224470396,182.045264627291,182.045663052169,25.517783114454,31.2342369398948,"4-pyridoxic acid","CHEBI:17405","HXACOUQIXZGNBF-UHFFFAOYSA-N","C8H9NO4","[M-H]-","neg",FALSE,0,"2_7"
206.040458400089,40.4710675443539,206.036467856013,206.042819775483,37.7336858244424,44.5773298254892,"4-pyridoxic acid","CHEBI:17405","HXACOUQIXZGNBF-UHFFFAOYSA-N","C8H9NO4","[M+Na]+","pos",FALSE,0,"2_7"
228.016310464981,41.7673448425738,228.013401838294,228.019043057206,39.0188175121383,47.0337001299807,"4-pyridoxic acid","CHEBI:17405","HXACOUQIXZGNBF-UHFFFAOYSA-N","C8H9NO4","[M+CHO2]-","neg",FALSE,400.183672360441,"2_7"
132.066193339686,23.2942546523453,132.06434767782,132.067074825243,19.6392549193853,25.5763184903855,"5-aminolevulinic acid","CHEBI:17549","ZGXJTSGNIOSYLO-UHFFFAOYSA-N","C5H9NO3","[M+H]+","pos",FALSE,0,"2_5"
130.051732080933,23.0130333713818,130.039093017578,130.058868408203,20.7280336829018,45.911857857258,"5-aminolevulinic acid","CHEBI:17549","ZGXJTSGNIOSYLO-UHFFFAOYSA-N","C5H9NO3","[M-H]-","neg",FALSE,0,"2_5"
154.049348826791,23.0662543690853,154.047867968972,154.077201964631,19.8678105192187,26.495073082222,"5-aminolevulinic acid","CHEBI:17549","ZGXJTSGNIOSYLO-UHFFFAOYSA-N","C5H9NO3","[M+Na]+","pos",FALSE,0,"2_5"
118.086733124731,23.808171997501,118.084741731777,118.091387165537,20.8381726841944,25.6341544869753,"5-aminopentanoic acid","CHEBI:15887","JJMDCOVWQOJGCB-UHFFFAOYSA-N","C5H11NO2","[M+H]+","pos",FALSE,0,"2_6"
116.069951573089,24.2981465578261,116.065943528867,116.071418762207,21.5571470976061,27.2778131485061,"5-aminopentanoic acid","CHEBI:15887","JJMDCOVWQOJGCB-UHFFFAOYSA-N","C5H11NO2","[M-H]-","neg",FALSE,0,"2_6"
167.035601471236,238.488508802926,167.019165039062,167.098342895508,204.601223745863,241.306844522691,"5-methoxysalicylic acid","CHEBI:89830","IZZIWIAOVZOBLF-UHFFFAOYSA-N","C8H8O4","[M-H]-","neg",FALSE,719.452854251875,"2_2"
169.057059923614,237.906535171277,169.048761997294,169.084210428861,234.00527694162,242.328962416711,"5-methoxysalicylic acid","CHEBI:89830","IZZIWIAOVZOBLF-UHFFFAOYSA-N","C8H8O4","[M+H]+","pos",FALSE,716.612039932956,"2_2"
242.113307893162,25.7452546850036,241.988922119141,242.114242553711,20.0379516957582,27.565764921298,"5-methyl-2'-deoxycytidine","CHEBI:47876","LUCHPKXVUGJYGU-XLPZGREQSA-N","C10H15N3O4","[M+H]+","pos",FALSE,0,"2_1"
264.096845690534,25.7452546850036,263.996856689453,264.243713378906,23.9222844718182,38.5086800373215,"5-methyl-2'-deoxycytidine","CHEBI:47876","LUCHPKXVUGJYGU-XLPZGREQSA-N","C10H15N3O4","[M+Na]+","pos",FALSE,0,"2_1"
240.095997245597,27.0909927423082,240.042680447584,240.097431476584,25.4836599166282,28.9182954532102,"5-methyl-2'-deoxycytidine","CHEBI:47876","LUCHPKXVUGJYGU-XLPZGREQSA-N","C10H15N3O4","[M-H]-","neg",FALSE,0,"2_1"
201.108787968957,400.845130109714,201.096492900721,201.137726864165,398.33039004463,402.902589657009,"5-phenylpentanoic acid","CHEBI:40131","BYHDDXPKOZIZRV-UHFFFAOYSA-N","C11H14O2","[M+Na]+","pos",FALSE,1317.68306812432,"3_3"
179.067807345884,400.616496491961,179.059140622405,179.09310256256,398.787818239104,403.592059723598,"5-phenylpentanoic acid","CHEBI:40131","BYHDDXPKOZIZRV-UHFFFAOYSA-N","C11H14O2","[M+H]+","pos",FALSE,1316.73282353777,"3_3"
