"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP0651235|CP0651234",245.165124512726,245.168634144059,328.976713953484,333.168390887413,4915.35594239013,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+Na]+|[M+Na]+","15_4",8,0,0,0,0,0,0,"974.746433507139|974.746433507139",1,331.372206379661,245.160558638642,2
"CP0651610",223.157587524427,223.163535733859,345.744458862666,351.733370804197,11824.5209994931,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+H]+","15_4",3,0,0,0,0,0,0,"1040.76537127116",2,348.738449162351,223.160004329977,1
"CP0651870|CP0652978|CP1109656|CP0652085|CP1172409",223.204728829074,223.20642575714,373.291901108444,392.460147683278,28774.9645730088,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+H]+|[M+H]+|[M+CHO2]-|[M+H]+|[M+H]+","15_4",18,11,4,0.678150482256968,0,0,0,"1147.69732018617|1186.7400220136|1182.03869665968|1184.30023718642|1184.30023718642",3,382.894962690693,231.993209469345,5
"CP0653607",223.203982144921,223.206318611892,409.826087326239,415.80795415393,7502.26297094858,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+H]+","15_4",6,3,1,0.84768810282121,0,0,0,"1297.76625919357",4,412.218619409429,223.205533790554,1
"CP1109999",267.150307105296,267.158064012741,426.710239311962,431.503627914095,3644.42973225408,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+CHO2]-","15_4",0,0,0,0,0,0,0,"1369.27727022341",5,429.106592946074,267.154294529494,1
"CP0654122|CP1110187",245.171492232238,245.175129958254,449.47719717364,458.860230646412,9345.19970939689,"(-)-alpha-Bisabolol","CHEBI:125","RGZSQWQPBWRIAQ-CABCVRRESA-N","C15H26O",222.198365452,"[M+Na]+|[M-H]-","15_4",5,0,0,0,0,0,0,"1488.55330358375|1466.03667683389",6,454.469627764826,233.163991908742,2
"CP1172424",227.172850378634,227.178771631111,30.4562062263733,38.2193549985262,3223.59803685944,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+Na]+","15_4",4,2,1,0.849416222872225,0,0,0,"272.665230362524",1,32.2476169423916,227.173968802093,1
"CP0649669",227.162342244183,227.167497883794,294.851389805762,300.83738525888,9816.1702181313,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+Na]+","15_4",2,2,1,0.849416222872225,0,0,0,"854.4254389359",2,297.246184028014,227.163932174802,1
"CP1107082|CP0649891|CP1107764|CP0650008|CP1172376",249.190153932586,249.192039341758,309.817580966933,330.174448036588,21715.2173549711,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+CHO2]-|[M+Na]+|[M+CHO2]-|[M+Na]+|[M+H]+","15_4",6,5,2,0.33974989417936,0,0,0,"934.026594445843|906.578473897189|936.197857125543|928.564526306399|928.564526306399",3,318.260302333306,231.552466834551,5
"CP0651646|CP0651631",227.161306205269,227.167693659882,350.535609597982,358.918791817503,6816.75860343949,"(-)-beta-caryophyllene","CHEBI:10357","NPNUFJAVOOONJE-GFUGXAQUSA-N","C15H24",204.187800768,"[M+Na]+|[M+Na]+","15_4",5,5,2,0.849416222872225,0,0,0,"1061.70938620447|1071.01851365955",4,355.325603416255,227.182993229637,2
