;Name;SMILES;RTI;exact mass;formula;logP;mz_pos;mz_neg;NAPS_POS_1;NAPS_POS_2;NAPS_POS_3;NAPS_POS_4;NAPS_POS_5;NAPS_POS_6;NAPS_NEG_1;NAPS_NEG_2;NAPS_NEG_3;NAPS_NEG_4;NAPS_NEG_5;NAPS_NEG_6
C1-APS;C1-APS;C[N+]1=CC(=CC=C1)S([O-])(=O)=O;100;173.0146643;C6H7NO3S;-4.01;174.0219403;218.0128643;26.82;26.233;27;27.061;27;27.023;26.449;26.719;26.256;26.865;26.385;26.248
C2-APS;C2-APS;CC[N+]1=CC(=CC=C1)S([O-])(=O)=O;200;187.0303143;C7H9NO3S;-3.65;188.0375903;232.0285143;27.497;27.587;28.339;28.415;28.45;28.377;27.446;27.219;26.755;27.863;27.384;27.247
C3-APS;C3-APS;CCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;300;201.0459644;C8H11NO3S;-3.13;202.0532404;246.0441644;31;31;31;31;31;31;30.438;30.214;30.251;30.859;30.379;30.242
C4-APS;C4-APS;CCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;400;215.0616145;C9H13NO3S;-2.68;216.0688905;260.0598145;43.74;43.83;43.905;43.981;44.693;44.62;42.407;42.197;42.733;42.343;42.363;42.226
C5-APS;C5-APS;CCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;500;229.0772645;C10H15NO3S;-2.24;230.0845405;274.0754645;129.6929922;128.431;129.1820078;129.2579922;129.9669922;129.8930078;122.199;122.085;122.62;122;122.251;122.612
C6-APS;C6-APS;CCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;600;243.0929146;C11H17NO3S;-1.79;244.1001906;288.0911146;206.849;206.942;207.011;207.087;207.119;207.047;203.486;203.47;204.005;203.615;203.636;203.498
C7-APS;C7-APS;CCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;700;257.1085647;C12H19NO3S;-1.35;258.1158407;302.1067647;250.839;250.937;251.004;251.078;251.109;251.037;247.87;247.907;247.943;248.052;248.073;247.935
C8-APS;C8-APS;CCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;800;271.1242147;C13H21NO3S;-0.9;272.1314907;316.1224147;285.358;285.453;285.52;285.594;285.625;285.553;282.779;282.858;282.894;282.504;282.525;282.886
C9-APS;C9-APS;CCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;900;285.1398648;C14H23NO3S;-0.46;286.1471408;330.1380648;315.136;315.231;315.298;316.048;315.403;315.331;312.701;312.815;312.852;312.464;312.482;312.843
C10-APS;C10-APS;CCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1000;299.1555148;C15H25NO3S;-0.02;300.1627908;344.1537148;342.207;342.302;342.369;342.443;342.474;342.402;339.63;339.777;339.813;339.925;339.944;339.805
C11-APS;C11-APS;CCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1100;313.1711649;C16H27NO3S;0.43;314.1784409;358.1693649;367.251;367.343;367.41;368.16;368.192;368.12;365.064;365.241;365.278;365.389;365.408;365.269
C12-APS;C12-APS;CCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1200;327.186815;C17H29NO3S;0.87;328.194091;372.185015;392.291;391.707;392.45;392.524;392.556;392.484;389.5;389.707;389.743;389.855;389.873;389.735
C13-APS;C13-APS;CCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1300;341.202465;C18H31NO3S;1.32;342.209741;386.200665;415.978;416.07;416.138;416.888;416.92;416.848;413.936;413.677;413.709;413.821;413.842;413.701
C14-APS;C14-APS;CCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1400;355.2181151;C19H33NO3S;1.76;356.2253911;400.2163151;440.342;440.434;440.502;441.252;441.284;440.536;437.874;437.643;437.675;437.787;437.808;437.667
C15-APS;C15-APS;CCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1500;369.2337652;C20H35NO3S;2.21;370.2410412;414.2319652;464.032;464.127;464.866;464.939;464.971;464.9;461.811;461.61;461.641;461.753;461.774;461.637
C16-APS;C16-APS;CCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1600;383.2494152;C21H37NO3S;2.65;384.2566912;428.2476152;488.396;488.491;488.553;489.303;489.335;489.264;485.749;485.576;485.608;485.719;485.74;485.603
C17-APS;C17-APS;CCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1700;397.2650653;C22H39NO3S;3.1;398.2723413;442.2632653;512.084;512.1779688;512.24;512.99;512;512.2769688;NA;NA;NA;NA;NA;NA
C18-APS;C18-APS;CCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1800;411.2807154;C23H41NO3S;3.54;412.2879914;456.2789154;535.094;535.188;535.927;NA;NA;NA;NA;NA;NA;NA;NA;NA
C19-APS;C19-APS;CCCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;1900;425.2963654;C24H43NO3S;3.99;426.3036414;470.2945654;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
C20-APS;C20-APS;CCCCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O;2000;439.3120155;C25H45NO3S;4.43;440.3192915;484.3102155;577.734;577.825;578.564;579;578.669;578.601;NA;NA;NA;NA;NA;NA
