"chrom_peak_id","mz","rt","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP241236",130.050911104662,29.7150963470394,130.048385530676,130.051246863173,26.1774953171565,35.8032091874042,33812.8513495958,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",-5.60433384180214e-05,0.430933653528645,"neg","1_2",130.050967148,"C5H8NO3",2,1,1,0.937901981472897,0,0,0,279.592328279252,1
"CP012382",132.065825711721,30.6161068682953,132.065381174291,132.065978022543,29.2819736399974,33.2850267207641,662703.47776822,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.000306563720585018,2.32130023463176,"pos","1_2",132.065519148,"C5H10NO3",8,1,1,0.936891346162347,0,0,0,288.898405676557,1
"CP012381",132.065843412231,37.953189889443,132.065267606693,132.066136025021,33.2850267207641,48.6344695352683,1873735.10428601,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.000324264230869176,2.45532848362779,"pos","1_2",132.065519148,"C5H10NO3",10,1,1,0.936891346162347,3,1,1,354.385529053133,1
"CP012613",132.064959558392,164.985262817027,132.064892169056,132.065022461583,162.983132275355,166.31998139679,940.333420019527,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",-0.000559589608485567,4.23721204517024,"pos","1_2",132.065519148,"C5H10NO3",1,1,1,0.936891346162347,0,0,0,546.153988857011,5
"CP012117",154.049358657582,37.953189889443,154.04863782197,154.051233210489,36.6199016224859,41.2888215068326,174876.848036551,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.00189550958202744,12.3047114395279,"pos","1_2",154.047463148,"C5H9NO3Na",10,4,1,0.937901981472897,1,0,0,354.385529053133,1
"CP241173",176.046780761,30.2232000965377,176.044457594823,176.049108995891,28.1926267584908,33.7741632609288,9699.45261695239,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-",-0.00966238700021904,54.8823253920702,"neg","1_2",176.056443148,"C6H10NO5",1,0,0,0,0,0,0,296.565895992573,1
"CP011487",132.055454604026,28.6162464651302,132.053514412002,132.056211561545,26.6151521051409,29.9488253824541,4000.47924990234,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",-0.0100645439744653,76.2087185163482,"pos","1_2",132.065519148,"C5H10NO3",3,0,0,0,0,0,0,231.06554265848,1
"CP012617",154.060924301093,167.656189409732,154.060038901605,154.062096446982,159.648466917061,170.329322242701,24661.4912154615,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0134611530934308,87.383153336956,"pos","1_2",154.047463148,"C5H9NO3Na",1,0,0,0,0,0,0,549.585578672287,5
"CP012603",154.061042379359,155.648265653827,154.059965379608,154.062196547249,144.981769013868,158.981476320057,14542.2637540932,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0135792313593299,88.1496590845107,"pos","1_2",154.047463148,"C5H9NO3Na",0,0,0,0,0,0,0,534.157873180147,5
"CP012463",154.061211203811,64.0032256054634,154.060970616988,154.061418565144,49.3026033509384,76.0372577255848,1374749.83314604,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0137480558108791,89.2455839903756,"pos","1_2",154.047463148,"C5H9NO3Na",4,0,0,0,6,0,0,423.708885784103,2
"CP012464",154.061349164737,43.2920659155238,154.060906530096,154.061430068563,41.2888215068326,49.3026033509384,453349.128800537,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0138860167372457,90.141158143609,"pos","1_2",154.047463148,"C5H9NO3Na",4,0,0,0,3,0,0,396.144434223886,1
"CP012581",132.080798722371,116.875439970144,132.080272694261,132.081446245836,101.467390267529,123.5789441226,142374.266992145,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.015279574370993,115.696924296113,"pos","1_2",132.065519148,"C5H10NO3",1,0,0,0,12,1,1,485.709444882925,4
"CP240516",130.069511330755,27.6847106227807,130.068347332494,130.071087351884,26.1774953171565,28.7001825712056,2677.66647734963,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",0.0185441827549369,142.591655883907,"neg","1_2",130.050967148,"C5H8NO3",0,0,0,0,0,0,0,211.765846760672,1
"CP012192",132.043260341084,43.2920659155238,132.042097854106,132.043700982879,41.2888215068326,44.6270588002576,3218.48922919922,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",-0.0222588069164829,168.543667265173,"pos","1_2",132.065519148,"C5H10NO3",4,1,1,0.936891346162347,3,1,1,396.144434223886,1
