"","Name","SMILES","RTI","exact mass","formula","logP","POS","NEG","mz_pos","mz_neg","NAPS_POS_1","NAPS_POS_2","NAPS_POS_3","NAPS_POS_4","NAPS_POS_5","NAPS_POS_6","NAPS_NEG_1","NAPS_NEG_2","NAPS_NEG_3","NAPS_NEG_4","NAPS_NEG_5","NAPS_NEG_6"
"C1-APS","C1-APS","C[N+]1=CC(=CC=C1)S([O-])(=O)=O",100,173.014664263,"C6H7NO3S",-4.01,"[M+ H]+","[M+CHO2]-",174.021940263,218.012864263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2-APS","C2-APS","CC[N+]1=CC(=CC=C1)S([O-])(=O)=O",200,187.030314328,"C7H9NO3S",-3.65,"[M+ H]+","[M+CHO2]-",188.037590328,232.028514328,25.8590000868,25.8590000868,25.87900042536,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3-APS","C3-APS","CCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",300,201.045964392,"C8H11NO3S",-3.13,"[M+ H]+","[M+CHO2]-",202.053240392,246.044164392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C4-APS","C4-APS","CCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",400,215.061614457,"C9H13NO3S",-2.68,"[M+ H]+","[M+CHO2]-",216.068890457,260.059814457,NA,NA,NA,NA,NA,NA,27.47100055218,27.48000025752,NA,41.64199948308,NA,NA
"C5-APS","C5-APS","CCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",500,229.077264521,"C10H15NO3S",-2.24,"[M+ H]+","[M+CHO2]-",230.084540521,274.075464521,112.7760028839,112.7760028839,111.891002655,NA,111.91100120544,110.54499864576,99.11099910738,108.69499683378,109.41400051116,109.88599777224,NA,106.37100219726
"C6-APS","C6-APS","CCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",600,243.092914585,"C11H17NO3S",-1.79,"[M+ H]+","[M+CHO2]-",244.100190585,288.091114585,189.24599647524,189.24599647524,189.04300689696,NA,189.06899929044,189.09699440004,187.9470062256,188.19499969482,188.41700077056,188.65300655364,188.50899696348,NA
"C7-APS","C7-APS","CCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",700,257.10856465,"C12H19NO3S",-1.35,"[M+ H]+","[M+CHO2]-",258.11584065,302.10676465,232.43700027468,232.43700027468,232.24199295042,NA,232.27499485014,232.08699703218,231.60299777982,231.8380022049,231.843996048,231.85800075534,231.70400619504,NA
"C8-APS","C8-APS","CCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",800,271.124214714,"C13H21NO3S",-0.9,"[M+ H]+","[M+CHO2]-",272.131490714,316.122414714,266.5609931946,266.5609931946,266.34100914,NA,266.3899898529,330.24999618528,265.92301368714,265.9610080719,265.94301223752,266.00100517272,265.59099197388,NA
"C9-APS","C9-APS","CCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",900,285.139864779,"C14H23NO3S",-0.46,"[M+ H]+","[M+CHO2]-",286.147140779,330.138064779,295.81300735476,295.81300735476,295.60100555418,NA,295.87600708008,336.12333297728,295.40399551392,295.43801307678,295.43601036072,295.48001289366,387.07400321958,NA
"C10-APS","C10-APS","CCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1000,299.155514843,"C15H25NO3S",-0.02,"[M+ H]+","[M+CHO2]-",300.162790843,344.153714843,NA,NA,322.40200996398,601.07997894288,322.6940059662,341.99666976928,322.21598625186,322.24499702454,322.45800018312,322.26299285886,390.12566566466,322.32198715212
