"chrom_peak_id","mz","rt","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP450243",130.050935677198,28.4357446042799,130.050602271441,130.051200852648,26.1419307711968,32.7893592614674,402292.116181116,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",-3.14708017867815e-05,0.241988217980473,"neg","1_2",130.050967148,"C5H8NO3",4,1,1,0.937901981472897,1,0,0,401.256411932959,1
"CP450244",130.051094252014,36.2202514527392,130.050769400943,130.051306563051,32.7893592614674,42.8615551828779,291845.596593112,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",0.000127104014183033,0.977340014998784,"neg","1_2",130.050967148,"C5H8NO3",4,1,1,0.937901981472897,1,0,0,411.441891109961,1
"CP028836",132.060075359138,27.4507165195003,132.047076694918,132.087024311651,21.5237453958548,31.5503570708074,35079.9178725688,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",-0.00544378886220898,41.2203646896535,"pos","1_2",132.065519148,"C5H10NO3",8,0,0,0,0,0,0,205.493918490194,1
"CP450766",176.068166408575,164.019298190073,176.060081008935,176.083745723817,161.957471507249,166.3091499322,524.033365202557,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-",0.0117232605749393,66.5880803072018,"neg","1_2",176.056443148,"C6H10NO5",1,1,1,0.92282242615148,0,0,0,571.424171499187,5
"CP449721",176.043540102445,28.2065981152834,176.039505324105,176.045840881286,26.6013750953501,30.0359095907733,13343.5287394725,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-",-0.0129030455545092,73.2892549900168,"neg","1_2",176.056443148,"C6H10NO5",4,0,0,0,0,0,0,400.956589884165,1
"CP028875",154.061260470383,27.2225027724241,154.048634523561,154.075513066167,21.0657456895748,31.7776216450869,415582.181763434,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0137973223828567,89.565398227954,"pos","1_2",154.047463148,"C5H9NO3Na",3,0,0,0,0,0,0,204.706223080672,1
"CP028876",154.061436144375,57.5326022577114,154.060848280957,154.062126598297,54.3406692246092,60.581110931492,216802.917209746,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0139729963748039,90.7057869650175,"pos","1_2",154.047463148,"C5H9NO3Na",5,0,0,0,3,0,0,309.323611527251,1
"CP028877",154.061515510529,39.3087201508143,154.059752855979,154.06368152137,35.648236075269,42.2685605929164,54129.6014780107,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0140523625289006,91.2209928144024,"pos","1_2",154.047463148,"C5H9NO3Na",3,0,0,0,0,0,0,246.422631795813,1
"CP450460",130.062907828221,95.8086690640387,130.052249339795,130.065577079149,89.3929818688884,98.5521919715175,3597.40538640325,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",0.0119406802207891,91.8153896325924,"neg","1_2",130.050967148,"C5H8NO3",1,0,0,0,0,0,0,489.409140492052,3
"CP029775",154.062379134153,154.16131995593,154.059700267737,154.074787017167,151.652265232287,157.371914806968,5177.23294411893,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0149159861531984,96.8272105777426,"pos","1_2",154.047463148,"C5H9NO3Na",5,0,0,0,0,0,0,554.119681600092,5
