"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP450243|CP450244|CP028836|CP449721|CP028875|CP028876|CP028877|CP449722|CP721490|CP449252",130.050602271441,130.051200852648,21.0657456895748,60.581110931492,146504.21376081,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-|[M-H]-|[M+H]+|[M+CHO2]-|[M+Na]+|[M+Na]+|[M+Na]+|[M+CHO2]-|[M+H]+|[M-H]-","1_2",39,6,4,0.373652837057017,5,0,0,"401.256411932896|411.441891107803|205.493918502054|400.956589884164|204.706223092415|309.323611554521|246.422631813748|419.832848237547|291.230448884779|400.358637378906",1,36.7050574550249,146.857348985524,10
"CP029532",132.078621166063,132.081735907825,71.9560291314514,81.3082944834343,48610.6452725588,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+","1_2",8,0,0,0,0,0,0,"377.995647278543",2,77.4284939947359,132.080250254129,1
"CP450460|CP029531",130.052249339795,130.065577079149,89.3929818688884,112.32563201951,47093.6221356165,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-|[M+H]+","1_2",7,0,0,0,0,0,0,"489.409140473846|455.133970998162",3,97.7929680268902,131.071446530802,2
"CP029774",154.058241443092,154.085535881422,134.767693798284,146.404095305211,5679.6568936637,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+","1_2",3,0,0,0,1,0,0,"536.2151539316",4,140.469728774489,154.063563006114,1
"CP450766|CP029775|CP030064",176.060081008935,176.083745723817,151.652265232287,175.408115849975,6519.68489863341,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-|[M+Na]+|[M+Na]+","1_2",7,1,1,0.307607475383827,2,0,0,"571.424171485233|554.119681627275|577.722661230662",5,163.463711697337,161.399076246432,3
"CP030300",154.060348510742,154.09211730957,190.554098973379,198.800383288594,1041.80967013525,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+","1_2",6,0,0,0,0,0,0,"611.525110915376",6,194.22380756859,154.072706688671,1
"CP451303",176.014633178711,176.04670892368,231.877755300244,238.237002975374,517.980328565927,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-","1_2",0,0,0,0,0,0,0,"709.750625500044",7,235.057311359424,176.02373495904,1
"CP721526",153.951217651367,154.131164550781,511.335108738416,523.445215338673,11524.0292856866,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+","1_2",3,0,0,0,0,0,0,"1809.11527867221",8,516.36125579198,154.018206211418,1
"CP033085",154.082309208551,154.10473013468,542.02566732906,552.097306068751,7665.00236174099,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+","1_2",4,3,1,0.937901981472897,0,0,0,"1948.77984838821",9,546.369265773687,154.094034654069,1
"CP033083",154.076384798455,154.10986715969,554.382101034742,566.031930598947,9471.31487294613,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+","1_2",10,8,1,0.937901981472897,0,0,0,"0",10,560.092961940507,154.087588172491,1
"CP033082|CP033084",154.087301780672,154.102896260423,575.396917018587,591.172940883327,8141.76549633582,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+|[M+Na]+","1_2",11,0,0,0,0,0,0,"0|0",11,583.749444637017,154.096990977265,2
