"chrom_peak_id","sample","mz","rt","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","target_theo_logP","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP011841",1,243.073385252334,40.8017721320899,37.9695997095982,45.4473377116586,1814.95412436316,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+Na]+",-0.000626991666308641,2.57942698407126,-2.315,"pos","1.1",243.074012244,"C11H12N2O3Na",8,5,2,0.981100500936648,5,0,0,322.951481955522,1
"CP011856",1,221.091583725727,40.0947077029779,37.2779575961463,49.4406629317516,29921.0919850847,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+H]+",-0.000484518273367485,2.19147741126907,-2.315,"pos","1.1",221.092068244,"C11H13N2O3",8,2,5,0.983456416358841,7,1,1,319.424976074663,1
"CP012645",1,243.085399264159,379.083967035343,377.031767511875,381.222380884447,591.049749403979,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+Na]+",0.011387020158736,46.8458970731336,-2.315,"pos","1.1",243.074012244,"C11H12N2O3Na",2,0,0,0,0,0,0,1123.62561714385,2
"CP012932",1,221.116748068809,449.095875488567,447.059354401636,451.651122959072,1282.21284273589,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+H]+",0.0246798248087146,111.626911832394,-2.315,"pos","1.1",221.092068244,"C11H13N2O3",3,0,0,0,1,0,0,1410.17022118833,3
"CP013017",1,221.116645907476,474.560980233267,471.006111884149,477.953471241823,1297.98044279769,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+H]+",0.0245776634755543,111.164835856663,-2.315,"pos","1.1",221.092068244,"C11H13N2O3",0,0,0,0,1,0,0,1513.07388938258,4
"CP103519",2,265.082175121181,42.1671341370737,39.3764767527302,44.2790897731628,597.964903826243,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+CHO2]-",-0.000817122819341876,3.08251695978194,-2.315,"neg","1.1",265.082992244,"C12H13N2O5",7,5,3,0.74685938429237,0,0,0,299.872777680235,1
"CP103861",2,219.077145681369,41.4598335244512,37.9983076147803,50.5669199298661,198457.744208596,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M-H]-",-0.000370562630820359,1.69146810304185,-2.315,"neg","1.1",219.077516244,"C11H11N2O3",8,2,3,0.985328548060807,7,1,1,294.53747849774,1
"CP011390",1,282.034931241529,23.137795913102,21.76299591311,25.345795913138,7998.45492707695,"alpha-D-glucosamine 6-phosphate","CHEBI:15873","XHMJOUIAFHJHBW-UKFBFLRUSA-N","C6H14NO8P",259.045703038,"[M+Na]+",8.20352926211854e-06,0.0290869271569366,-3.422,"pos","1.1",282.034923038,"C6H14NO8PNa",9,2,4,0.964104945105963,3,1,1,0,1
"CP103250",2,258.037464556172,25.0148487223436,22.1944487223716,30.0727135462018,105936.932126386,"alpha-D-glucosamine 6-phosphate","CHEBI:15873","XHMJOUIAFHJHBW-UKFBFLRUSA-N","C6H14NO8P",259.045703038,"[M-H]-",-0.000962481827514239,3.72999416622742,-3.422,"neg","1.1",258.038427038,"C6H13NO8P",4,2,4,0.989004035620546,5,1,1,0,1
"CP012374",1,343.17410557061,354.325420156586,351.589304478144,357.164570976536,1016.8707871251,"alpha-D-glucosyl-(1->4)-alpha-D-mannose","CHEBI:47937","GUBGYTABKSRVRQ-DKBJLJRDSA-N","C12H22O11",342.116211524,"[M+H]+",0.0506180466095998,147.521368982528,-3.663,"pos","1.1",343.123487524,"C12H23O11",1,0,0,0,1,0,0,1023.67575443288,2
"CP013032",1,365.135574655047,475.276411989213,471.692876217376,477.953471241823,1481.4273485093,"alpha-D-glucosyl-(1->4)-alpha-D-mannose","CHEBI:47937","GUBGYTABKSRVRQ-DKBJLJRDSA-N","C12H22O11",342.116211524,"[M+Na]+",0.0301431310468843,82.5600729111663,-3.663,"pos","1.1",365.105431524,"C12H22O11Na",1,1,1,0.854869865711061,5,1,0,1515.96569114469,3
"CP102610",2,387.113438644508,25.7176487223716,23.5058487223796,27.8398209529476,4286.04543743245,"alpha-D-glucosyl-(1->4)-alpha-D-mannose","CHEBI:47937","GUBGYTABKSRVRQ-DKBJLJRDSA-N","C12H22O11",342.116211524,"[M+CHO2]-",-0.000972879492451284,2.51315751490943,-3.663,"neg","1.1",387.114411524,"C13H23O13",6,3,3,0.980554193752049,0,0,0,0,1
"CP102856",2,341.107599105819,25.7176487223716,23.5058487223796,34.4320932462137,13398.2902377089,"alpha-D-glucosyl-(1->4)-alpha-D-mannose","CHEBI:47937","GUBGYTABKSRVRQ-DKBJLJRDSA-N","C12H22O11",342.116211524,"[M-H]-",-0.0013364181813813,3.91786330466056,-3.663,"neg","1.1",341.108935524,"C12H21O11",6,2,4,0.984494652635695,4,0,0,0,1
"CP011816",1,227.113423738929,29.5268193972389,26.615995913126,34.4003497856829,29351.1391961493,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+H]+",-0.000442569070997934,1.94866600702286,-4.099,"pos","1.1",227.113866308,"C9H15N4O3",9,1,3,0.977511878013634,8,1,1,203.698959480761,1
"CP011817",1,227.113653306203,22.431795913106,20.463595913102,26.615995913126,21843.4732451661,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+H]+",-0.000213001796652179,0.937863460803918,-4.099,"pos","1.1",227.113866308,"C9H15N4O3",10,2,3,0.976473872942797,9,1,1,0,1
"CP012221",1,249.109232241092,273.209901341646,269.087559100413,276.438590355869,712.670353583444,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+Na]+",0.013421933091962,53.8826127800632,-4.099,"pos","1.1",249.095810308,"C9H14N4O3Na",1,0,0,0,2,0,0,731.511307890202,2
"CP012324",1,227.124834768007,331.645602716374,329.566716755744,334.448002735896,1072.14090077307,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+H]+",0.0109684600072057,48.2949816561658,-4.099,"pos","1.1",227.113866308,"C9H15N4O3",3,0,0,0,1,0,0,935.107212049792,3
