"chrom_peak_id","sample","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","target_theo_logP","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP011841|CP011856|CP103519|CP103861",1,37.2779575961463,50.5669199298661,57697.9388054675,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+Na]+|[M+H]+|[M+CHO2]-|[M-H]-",-2.315,"1.1",31,14,13,0.924186212412166,19,2,2,"322.951481955522|319.424976074663|299.872777680235|294.53747849774",1,41.1308618741482,237.081072445153,4
"CP012645",1,377.031767511875,381.222380884447,591.049749403979,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+Na]+",-2.315,"1.1",2,0,0,0,0,0,0,"1123.62561714385",2,379.083967035343,243.085399264159,1
"CP012932",1,447.059354401636,451.651122959072,1282.21284273589,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+H]+",-2.315,"1.1",3,0,0,0,1,0,0,"1410.17022118833",3,449.095875488567,221.116748068809,1
"CP013017",1,471.006111884149,477.953471241823,1297.98044279769,"5-hydroxy-L-tryptophan","CHEBI:17780","LDCYZAJDBXYCGN-VIFPVBQESA-N","C11H12N2O3",220.084792244,"[M+H]+",-2.315,"1.1",0,0,0,0,1,0,0,"1513.07388938258",4,474.560980233267,221.116645907476,1
"CP011390|CP103250",1,21.76299591311,30.0727135462018,56967.6935267315,"alpha-D-glucosamine 6-phosphate","CHEBI:15873","XHMJOUIAFHJHBW-UKFBFLRUSA-N","C6H14NO8P",259.045703038,"[M+Na]+|[M-H]-",-3.422,"1.1",13,4,8,0.976554490363254,8,2,2,"0|0",1,24.0763223177228,270.036197898851,2
"CP102610|CP102856",2,23.5058487223796,34.4320932462137,8842.16783757068,"alpha-D-glucosyl-(1->4)-alpha-D-mannose","CHEBI:47937","GUBGYTABKSRVRQ-DKBJLJRDSA-N","C12H22O11",342.116211524,"[M+CHO2]-|[M-H]-",-3.663,"1.1",12,5,7,0.982524423193872,4,0,0,"0|0",1,25.7176487223716,364.110518875163,2
"CP012374",1,351.589304478144,357.164570976536,1016.8707871251,"alpha-D-glucosyl-(1->4)-alpha-D-mannose","CHEBI:47937","GUBGYTABKSRVRQ-DKBJLJRDSA-N","C12H22O11",342.116211524,"[M+H]+",-3.663,"1.1",1,0,0,0,1,0,0,"1023.67575443288",2,354.325420156586,343.17410557061,1
"CP013032",1,471.692876217376,477.953471241823,1481.4273485093,"alpha-D-glucosyl-(1->4)-alpha-D-mannose","CHEBI:47937","GUBGYTABKSRVRQ-DKBJLJRDSA-N","C12H22O11",342.116211524,"[M+Na]+",-3.663,"1.1",1,1,1,0.854869865711061,5,1,0,"1515.96569114469",3,475.276411989213,365.135574655047,1
"CP011816|CP011817|CP103168|CP103169",1,20.463595913102,37.2754869611515,80647.7507461673,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+H]+|[M+H]+|[M-H]-|[M-H]-",-4.099,"1.1",28,5,14,0.977326698596283,33,4,4,"203.698959480761|0|0|208.642328929494",1,26.2346443947236,226.106217259869,4
"CP012221",1,269.087559100413,276.438590355869,712.670353583444,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+Na]+",-4.099,"1.1",1,0,0,0,2,0,0,"731.511307890202",2,273.209901341646,249.109232241092,1
"CP012324",1,329.566716755744,334.448002735896,1072.14090077307,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+H]+",-4.099,"1.1",3,0,0,0,1,0,0,"935.107212049792",3,331.645602716374,227.124834768007,1
"CP012338",1,340.592974018227,346.062374589598,680.526298987544,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+Na]+",-4.099,"1.1",1,0,0,0,0,0,0,"977.57375635419",4,342.628512737095,249.146421764891,1
"CP012633",1,375.648227414232,381.222380884447,1447.79603167834,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+H]+",-4.099,"1.1",4,0,0,0,1,0,0,"1120.7462703362",5,378.38337876684,227.125276057866,1
