"","Name","SMILES","RTI","exact mass","formula","logP","mz_pos","mz_neg","NAPS_POS_1","NAPS_POS_2","NAPS_POS_3","NAPS_POS_4","NAPS_POS_5","NAPS_POS_6","NAPS_NEG_1","NAPS_NEG_2","NAPS_NEG_3","NAPS_NEG_4","NAPS_NEG_5","NAPS_NEG_6"
"C1-APS","C1-APS","C[N+]1=CC(=CC=C1)S([O-])(=O)=O",100,173.014664263,"C6H7NO3S",-4.01,174.021940263,218.012864263,28.00300000002,NA,NA,NA,27.696,NA,27.57799999998,27.41299999998,26.99500000002,27.477,26.89300000002,27.411
"C2-APS","C2-APS","CC[N+]1=CC(=CC=C1)S([O-])(=O)=O",200,187.030314328,"C7H9NO3S",-3.65,188.037590328,232.028514328,29.43100000002,29.11000000002,29.859,29.68900000002,29.163,29.13199999998,29.05600000002,28.79800000002,28.428,28.89199999998,28.25500000002,NA
"C3-APS","C3-APS","CCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",300,201.045964392,"C8H11NO3S",-3.13,202.053240392,246.044164392,36.3,36.10000000002,36.08899999998,36.55399999998,36.03499999998,36.13699999998,NA,NA,NA,NA,NA,NA
"C4-APS","C4-APS","CCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",400,215.061614457,"C9H13NO3S",-2.68,216.068890457,260.059814457,56.88,55.62,56.03200000002,55.27999999998,55.82599999998,56.03500000002,56.17099999998,54.711,55.047,55.75699999998,55.01899999998,55.61800000002
"C5-APS","C5-APS","CCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",500,229.077264521,"C10H15NO3S",-2.24,230.084540521,274.075464521,143.757,139.917,140.41000000002,138.84499999998,140.526,141.19999999998,140.35099999998,139.09399999998,139.24999999998,139.84000000002,138.42700000002,138.94699999998
"C6-APS","C6-APS","CCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",600,243.092914585,"C11H17NO3S",-1.79,244.100190585,288.091114585,222.73600000002,221.90500000002,221.70400000002,221.99200000002,221.664,221.72500000002,221.59300000002,220.203,220.07200000002,221.45299999998,220.353,220.69399999998
"C7-APS","C7-APS","CCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",700,257.10856465,"C12H19NO3S",-1.35,258.11584065,302.10676465,263.436,262.98199999998,262.79599999998,262.96399999998,262.869,262.25599999998,262.71199999998,261.51499999998,261.30499999998,262.923,261.51799999998,262.18099999998
"C8-APS","C8-APS","CCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",800,271.124214714,"C13H21NO3S",-0.9,272.131490714,316.122414714,295.15099999998,294.74200000002,295.10200000002,295.24999999998,294.94999999998,293.81599999998,294.954,294.099,294.033,294.879,294.01099999998,294.12400000002
"C9-APS","C9-APS","CCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",900,285.139864779,"C14H23NO3S",-0.46,286.147140779,330.138064779,322.84900000002,322.28299999998,322.35,322.96099999998,322.923,322.28899999998,322.689,321.732,321.69499999998,323.03800000002,321.573,322.50799999998
"C10-APS","C10-APS","CCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1000,299.155514843,"C15H25NO3S",-0.02,300.162790843,344.153714843,348.43399999998,348.423,348.201,349.227,348.54499999998,347.739,348.58300000002,347.544,347.83900000002,348.27700000002,347.919,348.25099999998
"C11-APS","C11-APS","CCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1100,313.171164907,"C16H27NO3S",0.43,314.178440907,358.169364907,373.30099999998,373.36999999998,373.44199999998,373.527,373.662,372.79600000002,373.88599999998,372.98200000002,372.705,373.48000000002,372.38599999998,373.45900000002
"C12-APS","C12-APS","CCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1200,327.186814972,"C17H29NO3S",0.87,328.194090972,372.185014972,397.68,397.65400000002,397.995,398.57299999998,398.35900000002,397.62400000002,398.763,397.35,397.47,398.43199999998,397.66099999998,398.094
